idx,t_us,red,ir,green,finger,rb_used,flags
26019,420668070,148315,172439,0,1,0,2
26020,420683695,148271,172526,0,1,1,0
26021,420699320,148293,172556,0,1,0,0
26022,420714945,148293,172556,0,1,0,2
26023,420730570,148337,172539,0,1,0,0
26024,420746195,148337,172539,0,1,0,2
26025,420761820,148337,172539,0,1,0,2
26026,420777445,148337,172539,0,1,0,2
26027,420793070,148382,172515,0,1,1,0
26028,420808695,148374,172406,0,1,0,0
26029,420824320,148374,172406,0,1,0,2
26030,420839945,148216,172266,0,1,1,0
26031,420855570,148164,172191,0,1,0,0
26032,420871195,148164,172191,0,1,0,2
26033,420886820,148178,172139,0,1,1,0
26034,420902445,148176,172081,0,1,0,0
26035,420918070,148176,172081,0,1,0,2
26036,420933695,148176,172081,0,1,0,2
26037,420949320,148176,172081,0,1,0,2
26038,420964945,148176,172081,0,1,0,2
26039,420980570,148162,172109,0,1,1,0
26040,420996195,148166,172103,0,1,0,0
26041,421011820,148166,172103,0,1,0,2
26042,421027445,148168,172096,0,1,1,0
26043,421043070,148170,172122,0,1,0,0
26044,421058695,148170,172122,0,1,0,2
26045,421074320,148171,172062,0,1,1,0
26046,421089945,148156,172037,0,1,0,0
26047,421105570,148156,172037,0,1,0,2
26048,421121195,148156,172037,0,1,0,2
26049,421136820,148169,172059,0,1,1,0
26050,421152445,148190,172075,0,1,0,0
26051,421168070,148165,172101,0,1,0,0
26052,421183695,148165,172101,0,1,0,2
26053,421199320,148165,172101,0,1,0,2
26054,421214945,148165,172101,0,1,0,2
26055,421230570,148183,172066,0,1,1,0
26056,421246195,148203,172080,0,1,0,0
26057,421261820,148203,172080,0,1,0,2
26058,421277445,148173,172169,0,1,1,0
26059,421293070,148170,172187,0,1,0,0
26060,421308695,148170,172187,0,1,0,2
26061,421324320,148170,172187,0,1,0,2
26062,421339945,148173,172227,0,1,1,0
26063,421355570,148175,172249,0,1,0,0
26064,421371195,148175,172249,0,1,0,2
26065,421386820,148175,172249,0,1,0,2
26066,421402445,148175,172249,0,1,0,2
26067,421418070,148270,172253,0,1,1,0
26068,421433695,148259,172271,0,1,0,0
26069,421449320,148259,172271,0,1,0,2
26070,421464945,148259,172271,0,1,0,2
26071,421480570,148199,172123,0,1,1,0
26072,421496195,148156,171991,0,1,0,0
26073,421511820,148156,171991,0,1,0,2
26074,421527445,148124,171860,0,1,1,0
26075,421543070,148118,171781,0,1,0,0
26076,421558695,148118,171781,0,1,0,2
26077,421574320,148077,171754,0,1,1,0
26078,421589945,148073,171772,0,1,0,0
26079,421605570,148073,171772,0,1,0,2
26080,421621195,148051,171708,0,1,0,0
26081,421636820,148051,171708,0,1,0,2
26082,421652445,148051,171708,0,1,0,2
26083,421668070,148051,171708,0,1,0,2
26084,421683695,148071,171699,0,1,1,0
26085,421699320,148061,171723,0,1,0,0
26086,421714945,148061,171723,0,1,0,2
26087,421730570,148053,171789,0,1,1,0
26088,421746195,148046,171791,0,1,0,0
26089,421761820,148046,171791,0,1,0,2
26090,421777445,148022,171767,0,1,1,0
26091,421793070,148052,171749,0,1,0,0
26092,421808695,148052,171749,0,1,0,2
26093,421824320,148021,171793,0,1,0,0
26094,421839945,148021,171793,0,1,0,2
26095,421855570,148021,171793,0,1,0,2
26096,421871195,148021,171793,0,1,0,2
26097,421886820,148060,171817,0,1,1,0
26098,421902445,148048,171848,0,1,0,0
26099,421918070,148048,171848,0,1,0,2
26100,421933695,148121,171737,0,1,1,0
26101,421949320,148154,171771,0,1,0,0
26102,421964945,148154,171771,0,1,0,2
26103,421980570,148186,171818,0,1,1,0
26104,421996195,148152,171881,0,1,0,0
26105,422011820,148152,171881,0,1,0,2
26106,422027445,148184,172017,0,1,0,0
26107,422043070,148184,172017,0,1,0,2
26108,422058695,148184,172017,0,1,0,2
26109,422074320,148187,172047,0,1,1,0
26110,422089945,148171,172033,0,1,0,0
26111,422105570,148171,172033,0,1,0,2
26112,422121195,148171,172033,0,1,0,2
26113,422136820,148185,171893,0,1,1,0
26114,422152445,148126,171740,0,1,0,0
26115,422168070,148126,171740,0,1,0,2
26116,422183695,148063,171562,0,1,1,0
26117,422199320,148016,171489,0,1,0,0
26118,422214945,148016,171489,0,1,0,2
26119,422230570,148016,171489,0,1,0,2
26120,422246195,148016,171489,0,1,0,2
26121,422261820,148016,171489,0,1,0,2
26122,422277445,147991,171356,0,1,1,0
26123,422293070,147987,171370,0,1,0,0
26124,422308695,147987,171370,0,1,0,2
26125,422324320,147942,171340,0,1,1,0
26126,422339945,147946,171404,0,1,0,0
26127,422355570,147946,171404,0,1,0,2
26128,422371195,147988,171379,0,1,1,0
26129,422386820,147999,171390,0,1,0,0
26130,422402445,147999,171390,0,1,0,2
26131,422418070,147999,171390,0,1,0,2
26132,422433695,147964,171467,0,1,1,0
26133,422449320,147983,171445,0,1,0,0
26134,422464945,147950,171462,0,1,0,0
26135,422480570,147950,171462,0,1,0,2
26136,422496195,147950,171462,0,1,0,2
26137,422511820,147950,171462,0,1,0,2
26138,422527445,148029,171440,0,1,1,0
26139,422543070,148034,171460,0,1,0,0
26140,422558695,148034,171460,0,1,0,2
26141,422574320,148053,171510,0,1,1,0
26142,422589945,148077,171587,0,1,0,0
26143,422605570,148077,171587,0,1,0,2
26144,422621195,148077,171587,0,1,0,2
26145,422636820,148000,171627,0,1,1,0
26146,422652445,148069,171670,0,1,0,0
26147,422668070,148069,171670,0,1,0,2
26148,422683695,148069,171670,0,1,0,2
26149,422699320,148069,171670,0,1,0,2
26150,422714945,148131,171771,0,1,1,0
26151,422730570,148153,171804,0,1,0,0
26152,422746195,148153,171804,0,1,0,2
26153,422761820,148153,171804,0,1,0,2
26154,422777445,148170,171892,0,1,1,0
26155,422793070,148183,171890,0,1,0,0
26156,422808695,148183,171890,0,1,0,2
26157,422824320,148174,171781,0,1,1,0
26158,422839945,148146,171703,0,1,0,0
26159,422855570,148146,171703,0,1,0,2
26160,422871195,148099,171503,0,1,1,0
26161,422886820,148044,171452,0,1,0,0
26162,422902445,148044,171452,0,1,0,2
26163,422918070,148054,171419,0,1,0,0
26164,422933695,148054,171419,0,1,0,2
26165,422949320,148054,171419,0,1,0,2
26166,422964945,148054,171419,0,1,0,2
26167,422980570,148040,171454,0,1,1,0
26168,422996195,148029,171443,0,1,0,0
26169,423011820,148029,171443,0,1,0,2
26170,423027445,148027,171424,0,1,1,0
26171,423043070,148010,171447,0,1,0,0
26172,423058695,148010,171447,0,1,0,2
26173,423074320,148036,171490,0,1,1,0
26174,423089945,148016,171474,0,1,0,0
26175,423105570,148016,171474,0,1,0,2
26176,423121195,148074,171443,0,1,0,0
26177,423136820,148074,171443,0,1,0,2
26178,423152445,148074,171443,0,1,0,2
26179,423168070,148074,171443,0,1,0,2
26180,423183695,148025,171435,0,1,1,0
26181,423199320,148030,171444,0,1,0,0
26182,423214945,148030,171444,0,1,0,2
26183,423230570,148096,171501,0,1,1,0
26184,423246195,148105,171523,0,1,0,0
26185,423261820,148105,171523,0,1,0,2
26186,423277445,148132,171549,0,1,1,0
26187,423293070,148122,171562,0,1,0,0
26188,423308695,148122,171562,0,1,0,2
26189,423324320,148122,171562,0,1,0,2
26190,423339945,148122,171562,0,1,0,2
26191,423355570,148122,171562,0,1,0,2
26192,423371195,148172,171707,0,1,1,0
26193,423386820,148178,171682,0,1,0,0
26194,423402445,148178,171682,0,1,0,2
26195,423418070,148205,171742,0,1,1,0
26196,423433695,148187,171768,0,1,0,0
26197,423449320,148187,171768,0,1,0,2
26198,423464945,148188,171806,0,1,1,0
26199,423480570,148199,171861,0,1,0,0
26200,423496195,148199,171861,0,1,0,2
26201,423511820,148199,171861,0,1,0,2
26202,423527445,148252,171879,0,1,1,0
26203,423543070,148273,171909,0,1,0,0
26204,423558695,148226,171786,0,1,0,0
26205,423574320,148226,171786,0,1,0,2
26206,423589945,148226,171786,0,1,0,2
26207,423605570,148226,171786,0,1,0,2
26208,423621195,148228,171578,0,1,1,0
26209,423636820,148204,171444,0,1,0,0
26210,423652445,148204,171444,0,1,0,2
26211,423668070,148161,171342,0,1,1,0
26212,423683695,148150,171323,0,1,0,0
26213,423699320,148150,171323,0,1,0,2
26214,423714945,148150,171323,0,1,0,2
26215,423730570,148051,171370,0,1,1,0
26216,423746195,148060,171341,0,1,0,0
26217,423761820,148069,171282,0,1,0,0
26218,423777445,148069,171282,0,1,0,2
26219,423793070,148069,171282,0,1,0,2
26220,423808695,148069,171282,0,1,0,2
26221,423824320,148084,171316,0,1,1,0
26222,423839945,148103,171336,0,1,0,0
26223,423855570,148103,171336,0,1,0,2
26224,423871195,148100,171366,0,1,1,0
26225,423886820,148091,171334,0,1,0,0
26226,423902445,148091,171334,0,1,0,2
26227,423918070,148091,171334,0,1,0,2
26228,423933695,148084,171350,0,1,1,0
26229,423949320,148098,171345,0,1,0,0
26230,423964945,148023,171369,0,1,0,0
26231,423980570,148023,171369,0,1,0,2
26232,423996195,148023,171369,0,1,0,2
26233,424011820,148023,171369,0,1,0,2
26234,424027445,148097,171405,0,1,1,0
26235,424043070,148078,171396,0,1,0,0
26236,424058695,148078,171396,0,1,0,2
26237,424074320,148143,171473,0,1,1,0
26238,424089945,148141,171508,0,1,0,0
26239,424105570,148141,171508,0,1,0,2
26240,424121195,148141,171508,0,1,0,2
26241,424136820,148182,171563,0,1,1,0
26242,424152445,148170,171568,0,1,0,0
26243,424168070,148204,171682,0,1,0,0
26244,424183695,148204,171682,0,1,0,2
26245,424199320,148204,171682,0,1,0,2
26246,424214945,148204,171682,0,1,0,2
26247,424230570,148234,171629,0,1,1,0
26248,424246195,148283,171632,0,1,0,0
26249,424261820,148283,171632,0,1,0,2
26250,424277445,148283,171694,0,1,1,0
26251,424293070,148287,171752,0,1,0,0
26252,424308695,148287,171752,0,1,0,2
26253,424324320,148287,171752,0,1,0,2
26254,424339945,148206,171753,0,1,1,0
26255,424355570,148223,171680,0,1,0,0
26256,424371195,148080,171398,0,1,0,0
26257,424386820,148080,171398,0,1,0,2
26258,424402445,148080,171398,0,1,0,2
26259,424418070,148080,171398,0,1,0,2
26260,424433695,148131,171330,0,1,1,0
26261,424449320,148122,171323,0,1,0,0
26262,424464945,148122,171323,0,1,0,2
26263,424480570,148122,171323,0,1,1,0
26264,424496195,148102,171307,0,1,0,0
26265,424511820,148102,171307,0,1,0,2
26266,424527445,148102,171307,0,1,0,2
26267,424543070,148101,171205,0,1,1,0
26268,424558695,148096,171229,0,1,0,0
26269,424574320,148117,171346,0,1,0,0
26270,424589945,148117,171346,0,1,0,2
26271,424605570,148117,171346,0,1,0,2
26272,424621195,148117,171346,0,1,0,2
26273,424636820,148076,171383,0,1,1,0
26274,424652445,148121,171341,0,1,0,0
26275,424668070,148121,171341,0,1,0,2
26276,424683695,148140,171333,0,1,1,0
26277,424699320,148155,171352,0,1,0,0
26278,424714945,148155,171352,0,1,0,2
26279,424730570,148180,171369,0,1,1,0
26280,424746195,148188,171410,0,1,0,0
26281,424761820,148188,171410,0,1,0,2
26282,424777445,148138,171512,0,1,0,0
26283,424793070,148138,171512,0,1,0,2
26284,424808695,148138,171512,0,1,0,2
26285,424824320,148138,171512,0,1,0,2
26286,424839945,148233,171592,0,1,1,0
26287,424855570,148264,171597,0,1,0,0
26288,424871195,148264,171597,0,1,0,2
26289,424886820,148235,171690,0,1,1,0
26290,424902445,148259,171726,0,1,0,0
26291,424918070,148259,171726,0,1,0,2
26292,424933695,148271,171766,0,1,1,0
26293,424949320,148281,171801,0,1,0,0
26294,424964945,148281,171801,0,1,0,2
26295,424980570,148281,171801,0,1,0,2
26296,424996195,148281,171801,0,1,0,2
26297,425011820,148281,171801,0,1,0,2
26298,425027445,148342,171952,0,1,1,0
26299,425043070,148349,171986,0,1,0,0
26300,425058695,148349,171986,0,1,0,2
26301,425074320,148349,171986,0,1,0,2
26302,425089945,148353,171991,0,1,1,0
26303,425105570,148379,171953,0,1,0,0
26304,425121195,148379,171953,0,1,0,2
26305,425136820,148333,171760,0,1,1,0
26306,425152445,148290,171685,0,1,0,0
26307,425168070,148290,171685,0,1,0,2
26308,425183695,148254,171631,0,1,1,0
26309,425199320,148242,171634,0,1,0,0
26310,425214945,148242,171634,0,1,0,2
26311,425230570,148242,171634,0,1,0,2
26312,425246195,148242,171634,0,1,0,2
26313,425261820,148242,171634,0,1,0,2
26314,425277445,148253,171559,0,1,1,0
26315,425293070,148245,171552,0,1,0,0
26316,425308695,148245,171552,0,1,0,2
26317,425324320,148277,171601,0,1,1,0
26318,425339945,148298,171618,0,1,0,0
26319,425355570,148298,171618,0,1,0,2
26320,425371195,148291,171634,0,1,1,0
26321,425386820,148294,171644,0,1,0,0
26322,425402445,148294,171644,0,1,0,2
26323,425418070,148294,171644,0,1,0,2
26324,425433695,148301,171699,0,1,1,0
26325,425449320,148282,171744,0,1,0,0
26326,425464945,148279,171775,0,1,0,0
26327,425480570,148279,171775,0,1,0,2
26328,425496195,148279,171775,0,1,0,2
26329,425511820,148279,171775,0,1,0,2
26330,425527445,148289,171840,0,1,1,0
26331,425543070,148306,171853,0,1,0,0
26332,425558695,148306,171853,0,1,0,2
26333,425574320,148350,171942,0,1,1,0
26334,425589945,148358,171978,0,1,0,0
26335,425605570,148358,171978,0,1,0,2
26336,425621195,148358,171978,0,1,0,2
26337,425636820,148351,172008,0,1,1,0
26338,425652445,148392,172030,0,1,0,0
26339,425668070,148294,172104,0,1,0,0
26340,425683695,148294,172104,0,1,0,2
26341,425699320,148294,172104,0,1,0,2
26342,425714945,148294,172104,0,1,0,2
26343,425730570,148369,172151,0,1,1,0
26344,425746195,148380,172182,0,1,0,0
26345,425761820,148380,172182,0,1,0,2
26346,425777445,148439,172215,0,1,1,0
26347,425793070,148468,172258,0,1,0,0
26348,425808695,148468,172258,0,1,0,2
26349,425824320,148468,172258,0,1,0,2
26350,425839945,148461,172399,0,1,1,0
26351,425855570,148470,172398,0,1,0,0
26352,425871195,148419,172252,0,1,0,0
26353,425886820,148419,172252,0,1,0,2
26354,425902445,148419,172252,0,1,0,2
26355,425918070,148419,172252,0,1,0,2
26356,425933695,148443,172015,0,1,1,0
26357,425949320,148431,171939,0,1,0,0
26358,425964945,148431,171939,0,1,0,2
26359,425980570,148404,171944,0,1,1,0
26360,425996195,148391,171961,0,1,0,0
26361,426011820,148391,171961,0,1,0,2
26362,426027445,148391,171961,0,1,0,2
26363,426043070,148320,171952,0,1,1,0
26364,426058695,148383,171947,0,1,0,0
26365,426074320,148383,171947,0,1,0,2
26366,426089945,148383,171947,0,1,0,2
26367,426105570,148383,171947,0,1,0,2
26368,426121195,148354,172003,0,1,1,0
26369,426136820,148364,172018,0,1,0,0
26370,426152445,148364,172018,0,1,0,2
26371,426168070,148364,172018,0,1,0,2
26372,426183695,148380,172024,0,1,1,0
26373,426199320,148380,172016,0,1,0,0
26374,426214945,148380,172016,0,1,0,2
26375,426230570,148369,172030,0,1,1,0
26376,426246195,148383,172033,0,1,0,0
26377,426261820,148383,172033,0,1,0,2
26378,426277445,148383,172036,0,1,1,0
26379,426293070,148368,172076,0,1,0,0
26380,426308695,148368,172076,0,1,0,2
26381,426324320,148368,172076,0,1,0,2
26382,426339945,148368,172076,0,1,0,2
26383,426355570,148368,172076,0,1,0,2
26384,426371195,148442,172127,0,1,1,0
26385,426386820,148452,172157,0,1,0,0
26386,426402445,148452,172157,0,1,0,2
26387,426418070,148454,172163,0,1,1,0
26388,426433695,148470,172207,0,1,0,0
26389,426449320,148470,172207,0,1,0,2
26390,426464945,148462,172205,0,1,1,0
26391,426480570,148507,172229,0,1,0,0
26392,426496195,148507,172229,0,1,0,2
26393,426511820,148507,172229,0,1,0,2
26394,426527445,148505,172276,0,1,1,0
26395,426543070,148511,172350,0,1,0,0
26396,426558695,148462,172418,0,1,0,0
26397,426574320,148462,172418,0,1,0,2
26398,426589945,148462,172418,0,1,0,2
26399,426605570,148462,172418,0,1,0,2
26400,426621195,148508,172465,0,1,1,0
26401,426636820,148528,172467,0,1,0,0
26402,426652445,148528,172467,0,1,0,2
26403,426668070,148507,172391,0,1,1,0
26404,426683695,148485,172250,0,1,0,0
26405,426699320,148485,172250,0,1,0,2
26406,426714945,148485,172250,0,1,0,2
26407,426730570,148422,172114,0,1,1,0
26408,426746195,148391,172079,0,1,0,0
26409,426761820,148379,172055,0,1,0,0
26410,426777445,148379,172055,0,1,0,2
26411,426793070,148379,172055,0,1,0,2
26412,426808695,148379,172055,0,1,0,2
26413,426824320,148371,172018,0,1,1,0
26414,426839945,148359,172040,0,1,0,0
26415,426855570,148359,172040,0,1,0,2
26416,426871195,148319,172061,0,1,1,0
26417,426886820,148364,172056,0,1,0,0
26418,426902445,148364,172056,0,1,0,2
26419,426918070,148364,172056,0,1,0,2
26420,426933695,148387,172098,0,1,1,0
26421,426949320,148409,172097,0,1,0,0
26422,426964945,148315,172056,0,1,0,0
26423,426980570,148315,172056,0,1,0,2
26424,426996195,148315,172056,0,1,0,2
26425,427011820,148315,172056,0,1,0,2
26426,427027445,148362,172132,0,1,1,0
26427,427043070,148331,172160,0,1,0,0
26428,427058695,148331,172160,0,1,0,2
26429,427074320,148402,172105,0,1,1,0
26430,427089945,148418,172174,0,1,0,0
26431,427105570,148418,172174,0,1,0,2
26432,427121195,148418,172174,0,1,0,2
26433,427136820,148419,172227,0,1,1,0
26434,427152445,148421,172260,0,1,0,0
26435,427168070,148421,172260,0,1,0,2
26436,427183695,148421,172260,0,1,0,2
26437,427199320,148421,172260,0,1,0,2
26438,427214945,148448,172376,0,1,1,0
26439,427230570,148457,172398,0,1,0,0
26440,427246195,148457,172398,0,1,0,2
26441,427261820,148457,172398,0,1,0,2
26442,427277445,148445,172429,0,1,1,0
26443,427293070,148472,172466,0,1,0,0
26444,427308695,148472,172466,0,1,0,2
26445,427324320,148477,172509,0,1,1,0
26446,427339945,148484,172542,0,1,0,0
26447,427355570,148484,172542,0,1,0,2
26448,427371195,148521,172580,0,1,1,0
26449,427386820,148549,172551,0,1,0,0
26450,427402445,148549,172551,0,1,0,2
26451,427418070,148436,172336,0,1,0,0
26452,427433695,148436,172336,0,1,0,2
26453,427449320,148436,172336,0,1,0,2
26454,427464945,148436,172336,0,1,0,2
26455,427480570,148393,172226,0,1,1,0
26456,427496195,148423,172176,0,1,0,0
26457,427511820,148423,172176,0,1,0,2
26458,427527445,148412,172172,0,1,1,0
26459,427543070,148402,172205,0,1,0,0
26460,427558695,148402,172205,0,1,0,2
26461,427574320,148435,172173,0,1,1,0
26462,427589945,148424,172182,0,1,0,0
26463,427605570,148424,172182,0,1,0,2
26464,427621195,148396,172190,0,1,0,0
26465,427636820,148396,172190,0,1,0,2
26466,427652445,148396,172190,0,1,0,2
26467,427668070,148396,172190,0,1,0,2
26468,427683695,148445,172281,0,1,1,0
26469,427699320,148448,172303,0,1,0,0
26470,427714945,148448,172303,0,1,0,2
26471,427730570,148409,172338,0,1,1,0
26472,427746195,148422,172344,0,1,0,0
26473,427761820,148422,172344,0,1,0,2
26474,427777445,148415,172363,0,1,1,0
26475,427793070,148426,172362,0,1,0,0
26476,427808695,148426,172362,0,1,0,2
26477,427824320,148426,172362,0,1,0,2
26478,427839945,148426,172362,0,1,0,2
26479,427855570,148426,172362,0,1,0,2
26480,427871195,148446,172479,0,1,1,0
26481,427886820,148463,172501,0,1,0,0
26482,427902445,148463,172501,0,1,0,2
26483,427918070,148489,172544,0,1,1,0
26484,427933695,148499,172549,0,1,0,0
26485,427949320,148499,172549,0,1,0,2
26486,427964945,148499,172549,0,1,0,2
26487,427980570,148518,172546,0,1,1,0
26488,427996195,148505,172652,0,1,0,0
26489,428011820,148505,172652,0,1,0,2
26490,428027445,148519,172713,0,1,1,0
26491,428043070,148548,172740,0,1,0,0
26492,428058695,148548,172740,0,1,0,2
26493,428074320,148559,172762,0,1,0,0
26494,428089945,148559,172762,0,1,0,2
26495,428105570,148559,172762,0,1,0,2
26496,428121195,148556,172867,0,1,1,0
26497,428136820,148564,172851,0,1,0,0
26498,428152445,148564,172851,0,1,0,2
26499,428168070,148564,172851,0,1,0,2
26500,428183695,148589,172621,0,1,1,0
26501,428199320,148564,172500,0,1,0,0
26502,428214945,148564,172500,0,1,0,2
26503,428230570,148433,172445,0,1,1,0
26504,428246195,148412,172370,0,1,0,0
26505,428261820,148412,172370,0,1,0,2
26506,428277445,148412,172370,0,1,0,2
26507,428293070,148412,172370,0,1,0,2
26508,428308695,148412,172370,0,1,0,2
26509,428324320,148417,172325,0,1,1,0
26510,428339945,148420,172324,0,1,0,0
26511,428355570,148420,172324,0,1,0,2
26512,428371195,148402,172293,0,1,1,0
26513,428386820,148412,172301,0,1,0,0
26514,428402445,148412,172301,0,1,0,2
26515,428418070,148389,172337,0,1,1,0
26516,428433695,148405,172328,0,1,0,0
26517,428449320,148405,172328,0,1,0,2
26518,428464945,148421,172333,0,1,1,0
26519,428480570,148384,172298,0,1,0,0
26520,428496195,148384,172298,0,1,0,2
26521,428511820,148359,172247,0,1,0,0
26522,428527445,148359,172247,0,1,0,2
26523,428543070,148359,172247,0,1,0,2
26524,428558695,148359,172247,0,1,0,2
26525,428574320,148380,172299,0,1,1,0
26526,428589945,148347,172325,0,1,0,0
26527,428605570,148347,172325,0,1,0,2
26528,428621195,148381,172392,0,1,1,0
26529,428636820,148399,172425,0,1,0,0
26530,428652445,148399,172425,0,1,0,2
26531,428668070,148437,172390,0,1,1,0
26532,428683695,148456,172397,0,1,0,0
26533,428699320,148456,172397,0,1,0,2
26534,428714945,148407,172517,0,1,0,0
26535,428730570,148407,172517,0,1,0,2
26536,428746195,148407,172517,0,1,0,2
26537,428761820,148407,172517,0,1,0,2
26538,428777445,148472,172453,0,1,1,0
26539,428793070,148486,172478,0,1,0,0
26540,428808695,148486,172478,0,1,0,2
26541,428824320,148490,172507,0,1,1,0
26542,428839945,148509,172520,0,1,0,0
26543,428855570,148509,172520,0,1,0,2
26544,428871195,148456,172438,0,1,1,0
26545,428886820,148411,172332,0,1,0,0
26546,428902445,148411,172332,0,1,0,2
26547,428918070,148351,172131,0,1,0,0
26548,428933695,148351,172131,0,1,0,2
26549,428949320,148351,172131,0,1,0,2
26550,428964945,148351,172131,0,1,0,2
26551,428980570,148313,172120,0,1,1,0
26552,428996195,148294,172122,0,1,0,0
26553,429011820,148294,172122,0,1,0,2
26554,429027445,148315,172092,0,1,1,0
26555,429043070,148296,172084,0,1,0,0
26556,429058695,148296,172084,0,1,0,2
26557,429074320,148293,172111,0,1,1,0
26558,429089945,148306,172110,0,1,0,0
26559,429105570,148306,172110,0,1,0,2
26560,429121195,148250,172133,0,1,0,0
26561,429136820,148250,172133,0,1,0,2
26562,429152445,148250,172133,0,1,0,2
26563,429168070,148250,172133,0,1,0,2
26564,429183695,148232,172140,0,1,1,0
26565,429199320,148246,172118,0,1,0,0
26566,429214945,148246,172118,0,1,0,2
26567,429230570,148314,172137,0,1,1,0
26568,429246195,148306,172145,0,1,0,0
26569,429261820,148306,172145,0,1,0,2
26570,429277445,148266,172224,0,1,1,0
26571,429293070,148268,172261,0,1,0,0
26572,429308695,148268,172261,0,1,0,2
26573,429324320,148268,172261,0,1,0,2
26574,429339945,148268,172261,0,1,0,2
26575,429355570,148268,172261,0,1,0,2
26576,429371195,148360,172255,0,1,1,0
26577,429386820,148366,172288,0,1,0,0
26578,429402445,148366,172288,0,1,0,2
26579,429418070,148404,172380,0,1,1,0
26580,429433695,148389,172399,0,1,0,0
26581,429449320,148389,172399,0,1,0,2
26582,429464945,148389,172399,0,1,0,2
26583,429480570,148348,172433,0,1,1,0
26584,429496195,148383,172457,0,1,0,0
26585,429511820,148383,172457,0,1,0,2
26586,429527445,148415,172413,0,1,1,0
26587,429543070,148363,172313,0,1,0,0
26588,429558695,148363,172313,0,1,0,2
26589,429574320,148363,172313,0,1,0,2
26590,429589945,148363,172313,0,1,0,2
26591,429605570,148363,172313,0,1,0,2
26592,429621195,148246,171985,0,1,1,0
26593,429636820,148237,171946,0,1,0,0
26594,429652445,148237,171946,0,1,0,2
