idx,t_us,red,ir,green,finger,rb_used,flags
1698,37095091,135305,159054,0,1,0,2
1699,37110716,135305,159054,0,1,0,2
1700,37126341,135349,159141,0,1,1,0
1701,37141966,135335,159178,0,1,0,0
1702,37157591,135335,159178,0,1,0,2
1703,37173216,135345,159185,0,1,1,0
1704,37188841,135342,159150,0,1,0,0
1705,37204466,135342,159150,0,1,0,2
1706,37220091,135333,159233,0,1,1,0
1707,37235716,135288,159229,0,1,0,0
1708,37251341,135288,159229,0,1,0,2
1709,37266966,135327,159290,0,1,1,0
1710,37282591,135348,159334,0,1,0,0
1711,37298216,135348,159334,0,1,0,2
1712,37313841,135382,159326,0,1,0,0
1713,37329466,135382,159326,0,1,0,2
1714,37345091,135382,159326,0,1,0,2
1715,37360716,135382,159326,0,1,0,2
1716,37376341,135429,159379,0,1,1,0
1717,37391966,135438,159345,0,1,0,0
1718,37407591,135438,159345,0,1,0,2
1719,37423216,135323,159072,0,1,1,0
1720,37438841,135249,158886,0,1,0,0
1721,37454466,135249,158886,0,1,0,2
1722,37470091,135233,158753,0,1,1,0
1723,37485716,135201,158794,0,1,0,0
1724,37501341,135201,158794,0,1,0,2
1725,37516966,135188,158899,0,1,0,0
1726,37532591,135188,158899,0,1,0,2
1727,37548216,135188,158899,0,1,0,2
1728,37563841,135188,158899,0,1,0,2
1729,37579466,135168,158922,0,1,1,0
1730,37595091,135177,158912,0,1,0,0
1731,37610716,135177,158912,0,1,0,2
1732,37626341,135170,158990,0,1,1,0
1733,37641966,135192,159006,0,1,0,0
1734,37657591,135192,159006,0,1,0,2
1735,37673216,135169,158984,0,1,1,0
1736,37688841,135157,158985,0,1,0,0
1737,37704466,135157,158985,0,1,0,2
1738,37720091,135124,158969,0,1,0,0
1739,37735716,135124,158969,0,1,0,2
1740,37751341,135124,158969,0,1,0,2
1741,37766966,135124,158969,0,1,0,2
1742,37782591,135093,158987,0,1,1,0
1743,37798216,135094,159013,0,1,0,0
1744,37813841,135094,159013,0,1,0,2
1745,37829466,135112,159042,0,1,1,0
1746,37845091,135160,159075,0,1,0,0
1747,37860716,135160,159075,0,1,0,2
1748,37876341,135183,159111,0,1,1,0
1749,37891966,135220,159156,0,1,0,0
1750,37907591,135220,159156,0,1,0,2
1751,37923216,135162,159221,0,1,0,0
1752,37938841,135162,159221,0,1,0,2
1753,37954466,135162,159221,0,1,0,2
1754,37970091,135162,159221,0,1,0,2
1755,37985716,135254,159239,0,1,1,0
1756,38001341,135271,159253,0,1,0,0
1757,38016966,135271,159253,0,1,0,2
1758,38032591,135259,159264,0,1,1,0
1759,38048216,135266,159360,0,1,0,0
1760,38063841,135266,159360,0,1,0,2
1761,38079466,135264,159398,0,1,1,0
1762,38095091,135272,159424,0,1,0,0
1763,38110716,135272,159424,0,1,0,2
1764,38126341,135272,159424,0,1,0,2
1765,38141966,135272,159424,0,1,0,2
