idx,t_us,red,ir,green,finger,rb_used,flags
11124,174855759,152759,175710,0,1,0,0
11125,174871384,152759,175710,0,1,0,2
11126,174887009,152759,175710,0,1,0,2
11127,174902634,152787,175804,0,1,1,0
11128,174918259,152818,175859,0,1,0,0
11129,174933884,152771,175908,0,1,0,0
11130,174949509,152771,175908,0,1,0,2
11131,174965134,152771,175908,0,1,0,2
11132,174980759,152771,175908,0,1,0,2
11133,174996384,152801,175989,0,1,1,0
11134,175012009,152831,176066,0,1,0,0
11135,175027634,152831,176066,0,1,0,2
11136,175043259,152897,176041,0,1,1,0
11137,175058884,152879,175923,0,1,0,0
11138,175074509,152879,175923,0,1,0,2
11139,175090134,152879,175923,0,1,0,2
11140,175105759,152747,175781,0,1,1,0
11141,175121384,152692,175678,0,1,0,0
11142,175137009,152692,175678,0,1,0,2
11143,175152634,152692,175678,0,1,0,2
11144,175168259,152692,175678,0,1,0,2
11145,175183884,152675,175561,0,1,1,0
11146,175199509,152635,175637,0,1,0,0
11147,175215134,152635,175637,0,1,0,2
11148,175230759,152635,175637,0,1,0,2
11149,175246384,152625,175620,0,1,1,0
11150,175262009,152598,175632,0,1,0,0
11151,175277634,152598,175632,0,1,0,2
11152,175293259,152614,175644,0,1,1,0
11153,175308884,152604,175676,0,1,0,0
11154,175324509,152604,175676,0,1,0,2
11155,175340134,152592,175671,0,1,1,0
11156,175355759,152582,175707,0,1,0,0
11157,175371384,152582,175707,0,1,0,2
11158,175387009,152582,175707,0,1,0,2
11159,175402634,152582,175707,0,1,0,2
11160,175418259,152582,175707,0,1,0,2
11161,175433884,152552,175679,0,1,1,0
11162,175449509,152550,175699,0,1,0,0
11163,175465134,152550,175699,0,1,0,2
11164,175480759,152522,175671,0,1,1,0
11165,175496384,152561,175705,0,1,0,0
11166,175512009,152561,175705,0,1,0,2
11167,175527634,152544,175799,0,1,1,0
11168,175543259,152553,175806,0,1,0,0
11169,175558884,152553,175806,0,1,0,2
11170,175574509,152553,175806,0,1,0,2
11171,175590134,152594,175767,0,1,1,0
11172,175605759,152606,175806,0,1,0,0
11173,175621384,152598,175795,0,1,0,0
11174,175637009,152598,175795,0,1,0,2
11175,175652634,152598,175795,0,1,0,2
11176,175668259,152598,175795,0,1,0,2
11177,175683884,152582,175895,0,1,1,0
11178,175699509,152586,175960,0,1,0,0
11179,175715134,152586,175960,0,1,0,2
11180,175730759,152562,175947,0,1,1,0
11181,175746384,152573,175966,0,1,0,0
11182,175762009,152573,175966,0,1,0,2
11183,175777634,152573,175966,0,1,0,2
11184,175793259,152574,176056,0,1,1,0
11185,175808884,152582,175996,0,1,0,0
11186,175824509,152544,175603,0,1,0,0
11187,175840134,152544,175603,0,1,0,2
11188,175855759,152544,175603,0,1,0,2
11189,175871384,152544,175603,0,1,0,2
11190,175887009,152351,175457,0,1,1,0
11191,175902634,152307,175392,0,1,0,0
11192,175918259,152307,175392,0,1,0,2
11193,175933884,152259,175439,0,1,1,0
11194,175949509,152271,175513,0,1,0,0
11195,175965134,152271,175513,0,1,0,2
11196,175980759,152271,175513,0,1,0,2
11197,175996384,152324,175475,0,1,1,0
11198,176012009,152301,175534,0,1,0,0
11199,176027634,152389,175667,0,1,0,0
11200,176043259,152389,175667,0,1,0,2
11201,176058884,152389,175667,0,1,0,2
11202,176074509,152389,175667,0,1,0,2
11203,176090134,152382,175655,0,1,1,0
11204,176105759,152357,175696,0,1,0,0
11205,176121384,152357,175696,0,1,0,2
11206,176137009,152371,175741,0,1,1,0
11207,176152634,152339,175763,0,1,0,0
11208,176168259,152339,175763,0,1,0,2
11209,176183884,152339,175763,0,1,0,2
11210,176199509,152328,175803,0,1,1,0
11211,176215134,152347,175851,0,1,0,0
11212,176230759,152328,175983,0,1,0,0
11213,176246384,152328,175983,0,1,0,2
11214,176262009,152328,175983,0,1,0,2
11215,176277634,152328,175983,0,1,0,2
11216,176293259,152394,176090,0,1,1,0
11217,176308884,152420,176119,0,1,0,0
11218,176324509,152420,176119,0,1,0,2
11219,176340134,152441,176181,0,1,1,0
11220,176355759,152429,176220,0,1,0,0
11221,176371384,152429,176220,0,1,0,2
11222,176387009,152429,176220,0,1,0,2
11223,176402634,152402,176267,0,1,1,0
11224,176418259,152439,176300,0,1,0,0
11225,176433884,152439,176300,0,1,0,2
11226,176449509,152439,176300,0,1,0,2
11227,176465134,152439,176300,0,1,0,2
11228,176480759,152446,176479,0,1,1,0
11229,176496384,152442,176489,0,1,0,0
11230,176512009,152442,176489,0,1,0,2
11231,176527634,152442,176489,0,1,0,2
11232,176543259,152504,176269,0,1,1,0
11233,176558884,152437,176120,0,1,0,0
11234,176574509,152437,176120,0,1,0,2
11235,176590134,152363,175973,0,1,1,0
11236,176605759,152309,176006,0,1,0,0
11237,176621384,152309,176006,0,1,0,2
11238,176637009,152267,176028,0,1,1,0
11239,176652634,152256,176057,0,1,0,0
11240,176668259,152256,176057,0,1,0,2
11241,176683884,152273,176054,0,1,0,0
11242,176699509,152273,176054,0,1,0,2
11243,176715134,152273,176054,0,1,0,2
11244,176730759,152273,176054,0,1,0,2
11245,176746384,152276,176071,0,1,1,0
11246,176762009,152281,176123,0,1,0,0
11247,176777634,152281,176123,0,1,0,2
