idx,t_us,red,ir,green,finger,rb_used,flags
31222,498407591,136799,157209,0,1,0,0
31223,498423216,136799,157209,0,1,0,2
31224,498438841,136843,157242,0,1,1,0
31225,498454466,136850,157240,0,1,0,0
31226,498470091,136850,157240,0,1,0,2
31227,498485716,136861,157271,0,1,1,0
31228,498501341,136875,157305,0,1,0,0
31229,498516966,136875,157305,0,1,0,2
31230,498532591,136811,157320,0,1,0,0
31231,498548216,136811,157320,0,1,0,2
31232,498563841,136811,157320,0,1,0,2
31233,498579466,136811,157320,0,1,0,2
31234,498595091,136804,157320,0,1,1,0
31235,498610716,136806,157329,0,1,0,0
31236,498626341,136806,157329,0,1,0,2
31237,498641966,136841,157378,0,1,1,0
31238,498657591,136850,157424,0,1,0,0
31239,498673216,136850,157424,0,1,0,2
31240,498688841,136856,157463,0,1,1,0
31241,498704466,136885,157549,0,1,0,0
31242,498720091,136885,157549,0,1,0,2
31243,498735716,136885,157549,0,1,0,2
31244,498751341,136885,157549,0,1,0,2
31245,498766966,136885,157549,0,1,0,2
31246,498782591,136979,157678,0,1,1,0
31247,498798216,136975,157781,0,1,0,0
31248,498813841,136975,157781,0,1,0,2
31249,498829466,136948,157784,0,1,1,0
31250,498845091,137008,157818,0,1,0,0
31251,498860716,137008,157818,0,1,0,2
31252,498876341,137008,157818,0,1,0,2
31253,498891966,137045,157858,0,1,1,0
31254,498907591,137057,157879,0,1,0,0
31255,498923216,137057,157879,0,1,0,2
31256,498938841,137106,157947,0,1,1,0
31257,498954466,137095,157976,0,1,0,0
31258,498970091,137095,157976,0,1,0,2
31259,498985716,137095,158130,0,1,0,0
31260,499001341,137095,158130,0,1,0,2
31261,499016966,137095,158130,0,1,0,2
31262,499032591,137198,158208,0,1,1,0
31263,499048216,137188,158149,0,1,0,0
31264,499063841,137188,158149,0,1,0,2
31265,499079466,137188,158149,0,1,0,2
31266,499095091,137048,157752,0,1,1,0
31267,499110716,136920,157482,0,1,0,0
31268,499126341,136920,157482,0,1,0,2
31269,499141966,136798,157241,0,1,1,0
31270,499157591,136776,157238,0,1,0,0
31271,499173216,136776,157238,0,1,0,2
31272,499188841,136776,157238,0,1,0,2
31273,499204466,136776,157238,0,1,0,2
31274,499220091,136776,157238,0,1,0,2
31275,499235716,136795,157354,0,1,1,0
31276,499251341,136802,157378,0,1,0,0
31277,499266966,136802,157378,0,1,0,2
31278,499282591,136816,157364,0,1,1,0
31279,499298216,136845,157382,0,1,0,0
31280,499313841,136845,157382,0,1,0,2
31281,499329466,136830,157474,0,1,1,0
31282,499345091,136831,157445,0,1,0,0
31283,499360716,136831,157445,0,1,0,2
31284,499376341,136831,157445,0,1,0,2
31285,499391966,136802,157420,0,1,1,0
31286,499407591,136798,157450,0,1,0,0
31287,499423216,136824,157508,0,1,0,0
31288,499438841,136824,157508,0,1,0,2
31289,499454466,136824,157508,0,1,0,2
31290,499470091,136824,157508,0,1,0,2
31291,499485716,136876,157503,0,1,1,0
31292,499501341,136871,157555,0,1,0,0
31293,499516966,136871,157555,0,1,0,2
31294,499532591,136914,157639,0,1,1,0
31295,499548216,136950,157660,0,1,0,0
31296,499563841,136950,157660,0,1,0,2
31297,499579466,136950,157660,0,1,0,2
31298,499595091,136982,157727,0,1,1,0
31299,499610716,136941,157802,0,1,0,0
31300,499626341,136965,157880,0,1,0,0
31301,499641966,136965,157880,0,1,0,2
31302,499657591,136965,157880,0,1,0,2
