idx,t_us,red,ir,green,finger,rb_used,flags
6608,104253855,150699,174569,0,1,0,0
6609,104269480,150699,174569,0,1,0,2
6610,104285105,150699,174569,0,1,0,2
6611,104300730,150742,174631,0,1,1,0
6612,104316355,150730,174689,0,1,0,0
6613,104331980,150693,174811,0,1,0,0
6614,104347605,150693,174811,0,1,0,2
6615,104363230,150693,174811,0,1,0,2
6616,104378855,150693,174811,0,1,0,2
6617,104394480,150721,174819,0,1,1,0
6618,104410105,150747,174859,0,1,0,0
6619,104425730,150747,174859,0,1,0,2
6620,104441355,150755,174905,0,1,1,0
6621,104456980,150748,174890,0,1,0,0
6622,104472605,150748,174890,0,1,0,2
6623,104488230,150772,175000,0,1,1,0
6624,104503855,150767,174957,0,1,0,0
6625,104519480,150767,174957,0,1,0,2
6626,104535105,150660,174670,0,1,0,0
6627,104550730,150660,174670,0,1,0,2
6628,104566355,150660,174670,0,1,0,2
6629,104581980,150660,174670,0,1,0,2
6630,104597605,150648,174631,0,1,1,0
6631,104613230,150631,174622,0,1,0,0
6632,104628855,150631,174622,0,1,0,2
6633,104644480,150600,174692,0,1,1,0
6634,104660105,150598,174723,0,1,0,0
6635,104675730,150598,174723,0,1,0,2
6636,104691355,150649,174740,0,1,1,0
6637,104706980,150685,174759,0,1,0,0
6638,104722605,150685,174759,0,1,0,2
6639,104738230,150665,174798,0,1,0,0
6640,104753855,150665,174798,0,1,0,2
6641,104769480,150665,174798,0,1,0,2
6642,104785105,150665,174798,0,1,0,2
6643,104800730,150660,174686,0,1,1,0
6644,104816355,150638,174640,0,1,0,0
6645,104831980,150638,174640,0,1,0,2
6646,104847605,150665,174627,0,1,1,0
6647,104863230,150662,174645,0,1,0,0
6648,104878855,150662,174645,0,1,0,2
6649,104894480,150651,174653,0,1,1,0
6650,104910105,150631,174741,0,1,0,0
6651,104925730,150631,174741,0,1,0,2
6652,104941355,150551,174772,0,1,0,0
6653,104956980,150551,174772,0,1,0,2
6654,104972605,150551,174772,0,1,0,2
6655,104988230,150551,174772,0,1,0,2
6656,105003855,150592,174783,0,1,1,0
6657,105019480,150605,174824,0,1,0,0
6658,105035105,150605,174824,0,1,0,2
6659,105050730,150588,174846,0,1,1,0
6660,105066355,150609,174858,0,1,0,0
6661,105081980,150609,174858,0,1,0,2
6662,105097605,150616,174896,0,1,1,0
6663,105113230,150600,174927,0,1,0,0
6664,105128855,150600,174927,0,1,0,2
6665,105144480,150600,174927,0,1,0,2
6666,105160105,150600,174927,0,1,0,2
6667,105175730,150600,174927,0,1,0,2
6668,105191355,150619,174946,0,1,1,0
6669,105206980,150629,175004,0,1,0,0
6670,105222605,150629,175004,0,1,0,2
6671,105238230,150629,175004,0,1,0,2
6672,105253855,150639,175085,0,1,1,0
6673,105269480,150616,175116,0,1,0,0
6674,105285105,150616,175116,0,1,0,2
6675,105300730,150669,175091,0,1,1,0
6676,105316355,150647,174977,0,1,0,0
6677,105331980,150647,174977,0,1,0,2
6678,105347605,150596,174792,0,1,1,0
6679,105363230,150565,174779,0,1,0,0
6680,105378855,150565,174779,0,1,0,2
6681,105394480,150528,174835,0,1,0,0
6682,105410105,150528,174835,0,1,0,2
6683,105425730,150528,174835,0,1,0,2
6684,105441355,150543,174968,0,1,1,0
6685,105456980,150545,174980,0,1,0,0
6686,105472605,150545,174980,0,1,0,2
6687,105488230,150545,174980,0,1,0,2
6688,105503855,150636,174916,0,1,1,0
6689,105519480,150625,174996,0,1,0,0
6690,105535105,150625,174996,0,1,0,2
6691,105550730,150520,174995,0,1,1,0
6692,105566355,150556,174946,0,1,0,0
6693,105581980,150556,174946,0,1,0,2
6694,105597605,150552,174956,0,1,0,0
6695,105613230,150552,174956,0,1,0,2
6696,105628855,150552,174956,0,1,0,2
6697,105644480,150555,174964,0,1,1,0
6698,105660105,150568,174981,0,1,0,0
6699,105675730,150568,174981,0,1,0,2
6700,105691355,150568,174981,0,1,0,2
6701,105706980,150554,175054,0,1,1,0
6702,105722605,150582,175071,0,1,0,0
6703,105738230,150582,175071,0,1,0,2
6704,105753855,150566,175091,0,1,1,0
6705,105769480,150606,175087,0,1,0,0
6706,105785105,150606,175087,0,1,0,2
6707,105800730,150606,175087,0,1,0,2
6708,105816355,150606,175087,0,1,0,2
6709,105831980,150606,175087,0,1,0,2
6710,105847605,150575,175176,0,1,1,0
6711,105863230,150595,175198,0,1,0,0
6712,105878855,150595,175198,0,1,0,2
6713,105894480,150587,175139,0,1,1,0
6714,105910105,150606,175172,0,1,0,0
6715,105925730,150606,175172,0,1,0,2
6716,105941355,150618,175191,0,1,1,0
6717,105956980,150610,175184,0,1,0,0
6718,105972605,150610,175184,0,1,0,2
6719,105988230,150610,175184,0,1,0,2
6720,106003855,150570,175299,0,1,1,0
6721,106019480,150572,175306,0,1,0,0
6722,106035105,150519,175037,0,1,0,0
6723,106050730,150519,175037,0,1,0,2
6724,106066355,150519,175037,0,1,0,2
6725,106081980,150519,175037,0,1,0,2
6726,106097605,150467,174952,0,1,1,0
