idx,t_us,red,ir,green,finger,rb_used,flags
2112,57527621,732,683,0,0,1,0
2113,57537621,759,711,0,0,0,0
2114,57577621,752,696,0,0,1,0
2115,57587621,729,699,0,0,0,0
2116,57627621,732,700,0,0,1,0
2117,57637621,755,680,0,0,0,0
2118,57677621,748,698,0,0,1,0
2119,57687621,766,696,0,0,0,0
2120,57737621,744,698,0,0,1,0
2121,57747621,739,700,0,0,0,0
2122,57787621,753,700,0,0,1,0
2123,57797621,754,701,0,0,0,0
2124,57837621,747,721,0,0,1,0
2125,57847621,739,715,0,0,0,0
2126,57887621,755,731,0,0,1,0
2127,57897621,755,724,0,0,0,0
2128,57937621,753,715,0,0,1,0
2129,57947621,738,716,0,0,0,0
2130,57987621,762,715,0,0,1,0
2131,57997621,771,732,0,0,0,0
2132,58037621,758,718,0,0,1,0
2133,58047621,787,709,0,0,0,0
2134,58087621,771,712,0,0,1,0
2135,58097621,754,732,0,0,0,0
2136,58137621,768,753,0,0,1,0
2137,58147621,772,742,0,0,0,0
2138,58187621,769,721,0,0,1,0
2139,58197621,776,745,0,0,0,0
2140,58237621,774,735,0,0,1,0
2141,58247621,778,760,0,0,0,0
2142,58287621,776,732,0,0,1,0
2143,58297621,775,743,0,0,0,0
2144,58337621,781,728,0,0,1,0
2145,58347621,764,720,0,0,0,0
2146,58397621,761,707,0,0,1,0
2147,58407621,798,715,0,0,0,0
2148,58447621,803,734,0,0,1,0
2149,58457621,764,708,0,0,0,0
2150,58497621,794,713,0,0,1,0
2151,58507621,777,735,0,0,0,0
2152,58547621,769,732,0,0,1,0
2153,58557621,769,719,0,0,0,0
2154,58597621,774,691,0,0,1,0
2155,58607621,775,716,0,0,0,0
2156,58647621,781,732,0,0,1,0
2157,58657621,755,712,0,0,0,0
2158,58697621,791,711,0,0,1,0
2159,58707621,779,729,0,0,0,0
2160,58747621,770,701,0,0,1,0
2161,58757621,777,730,0,0,0,0
2162,58797621,775,693,0,0,1,0
2163,58807621,762,707,0,0,0,0
2164,58847621,762,706,0,0,1,0
2165,58857621,764,708,0,0,0,0
2166,58897621,761,690,0,0,1,0
2167,58907621,740,708,0,0,0,0
2168,58947621,758,702,0,0,1,0
2169,58957621,752,708,0,0,0,0
2170,58997621,742,704,0,0,1,0
2171,59007621,746,711,0,0,0,0
2172,59057621,754,718,0,0,1,0
2173,59067621,760,703,0,0,0,0
2174,59107621,767,683,0,0,1,0
2175,59117621,762,697,0,0,0,0
2176,59157621,764,696,0,0,1,0
2177,59167621,740,692,0,0,0,0
2178,59207621,767,704,0,0,1,0
2179,59217621,776,690,0,0,0,0
2180,59257621,738,693,0,0,1,0
2181,59267621,743,698,0,0,0,0
2182,59307621,743,721,0,0,1,0
2183,59317621,752,677,0,0,0,0
2184,59357621,754,696,0,0,1,0
2185,59367621,744,697,0,0,0,0
2186,59407621,749,689,0,0,1,0
2187,59417621,723,681,0,0,0,0
2188,59457621,722,683,0,0,1,0
2189,59467621,710,709,0,0,0,0
2190,59507621,764,706,0,0,1,0
2191,59517621,741,723,0,0,0,0
2192,59557621,732,705,0,0,1,0
2193,59567621,755,706,0,0,0,0
2194,59607621,721,697,0,0,1,0
2195,59617621,735,673,0,0,0,0
2196,59657621,719,697,0,0,1,0
2197,59667621,755,699,0,0,0,0
2198,59707621,733,702,0,0,1,0
2199,59717621,770,703,0,0,0,0
2200,59767621,738,719,0,0,1,0
