idx,t_us,red,ir,green,finger,rb_used,flags
4833,89636820,137982,158997,0,1,0,0
4834,89652445,137982,158997,0,1,0,2
4835,89668070,137962,158972,0,1,1,0
4836,89683695,137924,158837,0,1,0,0
4837,89699320,137924,158837,0,1,0,2
4838,89714945,137835,158657,0,1,1,0
4839,89730570,137779,158589,0,1,0,0
4840,89746195,137779,158589,0,1,0,2
4841,89761820,137779,158589,0,1,0,2
4842,89777445,137779,158589,0,1,0,2
4843,89793070,137779,158589,0,1,0,2
4844,89808695,137768,158540,0,1,1,0
4845,89824320,137778,158556,0,1,0,0
4846,89839945,137778,158556,0,1,0,2
4847,89855570,137778,158556,0,1,0,2
4848,89871195,137747,158556,0,1,1,0
4849,89886820,137736,158542,0,1,0,0
4850,89902445,137736,158542,0,1,0,2
4851,89918070,137757,158617,0,1,1,0
4852,89933695,137742,158634,0,1,0,0
4853,89949320,137742,158634,0,1,0,2
4854,89964945,137744,158659,0,1,1,0
4855,89980570,137719,158660,0,1,0,0
4856,89996195,137719,158660,0,1,0,2
4857,90011820,137747,158636,0,1,0,0
4858,90027445,137747,158636,0,1,0,2
4859,90043070,137747,158636,0,1,0,2
4860,90058695,137787,158677,0,1,1,0
4861,90074320,137800,158717,0,1,0,0
4862,90089945,137800,158717,0,1,0,2
4863,90105570,137800,158717,0,1,0,2
4864,90121195,137830,158738,0,1,1,0
4865,90136820,137825,158800,0,1,0,0
4866,90152445,137825,158800,0,1,0,2
4867,90168070,137873,158835,0,1,1,0
4868,90183695,137868,158884,0,1,0,0
4869,90199320,137868,158884,0,1,0,2
4870,90214945,137839,159018,0,1,0,0
4871,90230570,137839,159018,0,1,0,2
4872,90246195,137839,159018,0,1,0,2
4873,90261820,137839,159018,0,1,0,2
4874,90277445,137900,159101,0,1,1,0
4875,90293070,137927,159115,0,1,0,0
4876,90308695,137927,159115,0,1,0,2
4877,90324320,137947,159186,0,1,1,0
4878,90339945,137946,159177,0,1,0,0
4879,90355570,137946,159177,0,1,0,2
4880,90371195,137968,159273,0,1,1,0
4881,90386820,137999,159316,0,1,0,0
4882,90402445,137999,159316,0,1,0,2
4883,90418070,138011,159404,0,1,0,0
4884,90433695,138011,159404,0,1,0,2
4885,90449320,138011,159404,0,1,0,2
4886,90464945,138025,159429,0,1,1,0
4887,90480570,138054,159496,0,1,0,0
4888,90496195,138054,159496,0,1,0,2
4889,90511820,138054,159496,0,1,0,2
4890,90527445,138101,159599,0,1,1,0
4891,90543070,138108,159665,0,1,0,0
4892,90558695,138108,159665,0,1,0,2
4893,90574320,138138,159586,0,1,1,0
4894,90589945,138098,159410,0,1,0,0
4895,90605570,138098,159410,0,1,0,2
4896,90621195,137946,159131,0,1,0,0
4897,90636820,137946,159131,0,1,0,2
4898,90652445,137946,159131,0,1,0,2
4899,90668070,137995,159150,0,1,1,0
4900,90683695,138007,159111,0,1,0,0
4901,90699320,138007,159111,0,1,0,2
4902,90714945,138007,159111,0,1,0,2
4903,90730570,137921,159201,0,1,1,0
4904,90746195,137934,159228,0,1,0,0
4905,90761820,137934,159228,0,1,0,2
4906,90777445,137927,159221,0,1,1,0
4907,90793070,137922,159242,0,1,0,0
4908,90808695,137922,159242,0,1,0,2
4909,90824320,138000,159291,0,1,0,0
4910,90839945,138000,159291,0,1,0,2
4911,90855570,138000,159291,0,1,0,2
4912,90871195,137969,159298,0,1,1,0
4913,90886820,137963,159287,0,1,0,0
4914,90902445,137963,159287,0,1,0,2
4915,90918070,137963,159287,0,1,0,2
4916,90933695,137970,159283,0,1,1,0
4917,90949320,137963,159312,0,1,0,0
4918,90964945,137963,159312,0,1,0,2
4919,90980570,137980,159357,0,1,1,0
4920,90996195,138002,159360,0,1,0,0
4921,91011820,138002,159360,0,1,0,2
4922,91027445,138002,159360,0,1,0,2
4923,91043070,138002,159360,0,1,0,2
4924,91058695,138002,159360,0,1,0,2
4925,91074320,137974,159517,0,1,1,0
4926,91089945,138034,159572,0,1,0,0
4927,91105570,138034,159572,0,1,0,2
4928,91121195,138074,159560,0,1,1,0
4929,91136820,138093,159577,0,1,0,0
4930,91152445,138093,159577,0,1,0,2
4931,91168070,138099,159573,0,1,1,0
4932,91183695,138116,159606,0,1,0,0
4933,91199320,138116,159606,0,1,0,2
4934,91214945,138116,159606,0,1,0,2
4935,91230570,138069,159736,0,1,1,0
4936,91246195,138058,159754,0,1,0,0
4937,91261820,138107,159796,0,1,0,0
4938,91277445,138107,159796,0,1,0,2
4939,91293070,138107,159796,0,1,0,2
4940,91308695,138107,159796,0,1,0,2
4941,91324320,138135,159854,0,1,1,0
4942,91339945,138153,159892,0,1,0,0
4943,91355570,138153,159892,0,1,0,2
4944,91371195,138157,159930,0,1,1,0
4945,91386820,138183,159965,0,1,0,0
4946,91402445,138183,159965,0,1,0,2
4947,91418070,138183,159965,0,1,0,2
4948,91433695,138174,159933,0,1,1,0
4949,91449320,138138,159783,0,1,0,0
4950,91464945,138024,159528,0,1,0,0
4951,91480570,138024,159528,0,1,0,2
4952,91496195,138024,159528,0,1,0,2
4953,91511820,138024,159528,0,1,0,2
4954,91527445,138013,159479,0,1,1,0
4955,91543070,138000,159482,0,1,0,0
4956,91558695,138000,159482,0,1,0,2
4957,91574320,137970,159551,0,1,1,0
4958,91589945,137960,159550,0,1,0,0
4959,91605570,137960,159550,0,1,0,2
4960,91621195,137995,159566,0,1,1,0
4961,91636820,138037,159563,0,1,0,0
4962,91652445,138037,159563,0,1,0,2
4963,91668070,138001,159598,0,1,0,0
4964,91683695,138001,159598,0,1,0,2
4965,91699320,138001,159598,0,1,0,2
4966,91714945,138001,159598,0,1,0,2
4967,91730570,138044,159583,0,1,1,0
4968,91746195,138049,159552,0,1,0,0
4969,91761820,138049,159552,0,1,0,2
4970,91777445,138043,159594,0,1,1,0
4971,91793070,138042,159562,0,1,0,0
4972,91808695,138042,159562,0,1,0,2
4973,91824320,138042,159562,0,1,0,2
4974,91839945,138055,159609,0,1,1,0
4975,91855570,138048,159668,0,1,0,0
4976,91871195,138018,159768,0,1,0,0
4977,91886820,138018,159768,0,1,0,2
4978,91902445,138018,159768,0,1,0,2
4979,91918070,138018,159768,0,1,0,2
4980,91933695,138038,159812,0,1,1,0
4981,91949320,138064,159828,0,1,0,0
4982,91964945,138064,159828,0,1,0,2
4983,91980570,138077,159869,0,1,1,0
4984,91996195,138083,159882,0,1,0,0
4985,92011820,138083,159882,0,1,0,2
4986,92027445,138060,159924,0,1,1,0
4987,92043070,138062,159967,0,1,0,0
4988,92058695,138062,159967,0,1,0,2
4989,92074320,138097,160009,0,1,0,0
4990,92089945,138097,160009,0,1,0,2
4991,92105570,138097,160009,0,1,0,2
4992,92121195,138097,160009,0,1,0,2
4993,92136820,138119,160059,0,1,1,0
4994,92152445,138131,160104,0,1,0,0
4995,92168070,138131,160104,0,1,0,2
4996,92183695,138139,160133,0,1,1,0
4997,92199320,138168,160153,0,1,0,0
4998,92214945,138168,160153,0,1,0,2
4999,92230570,138171,160106,0,1,1,0
5000,92246195,138121,159976,0,1,0,0
5001,92261820,138121,159976,0,1,0,2
5002,92277445,137992,159635,0,1,0,0
5003,92293070,137992,159635,0,1,0,2
5004,92308695,137992,159635,0,1,0,2
5005,92324320,137992,159635,0,1,0,2
5006,92339945,138032,159602,0,1,1,0
5007,92355570,138042,159617,0,1,0,0
5008,92371195,138042,159617,0,1,0,2
5009,92386820,137995,159631,0,1,1,0
5010,92402445,137972,159655,0,1,0,0
5011,92418070,137972,159655,0,1,0,2
5012,92433695,137970,159717,0,1,1,0
5013,92449320,137936,159696,0,1,0,0
5014,92464945,137936,159696,0,1,0,2
5015,92480570,137936,159696,0,1,0,2
5016,92496195,137936,159696,0,1,0,2
5017,92511820,137936,159696,0,1,0,2
5018,92527445,137925,159812,0,1,1,0
5019,92543070,137936,159804,0,1,0,0
5020,92558695,137936,159804,0,1,0,2
5021,92574320,137936,159804,0,1,0,2
5022,92589945,137931,159769,0,1,1,0
5023,92605570,137942,159741,0,1,0,0
5024,92621195,137942,159741,0,1,0,2
5025,92636820,137976,159742,0,1,1,0
5026,92652445,137985,159765,0,1,0,0
5027,92668070,137985,159765,0,1,0,2
5028,92683695,137943,159840,0,1,1,0
5029,92699320,137987,159855,0,1,0,0
5030,92714945,137987,159855,0,1,0,2
5031,92730570,138028,159892,0,1,0,0
5032,92746195,138028,159892,0,1,0,2
5033,92761820,138028,159892,0,1,0,2
5034,92777445,138058,159927,0,1,1,0
