idx,t_us,red,ir,green,finger,rb_used,flags
9449,158204466,149859,171641,0,1,1,0
9450,158220091,149848,171686,0,1,0,0
9451,158235716,149848,171686,0,1,0,2
9452,158251341,149880,171669,0,1,0,0
9453,158266966,149880,171669,0,1,0,2
9454,158282591,149880,171669,0,1,0,2
9455,158298216,149929,171696,0,1,1,0
9456,158313841,149929,171711,0,1,0,0
9457,158329466,149929,171711,0,1,0,2
9458,158345091,149929,171711,0,1,0,2
9459,158360716,149968,171781,0,1,1,0
9460,158376341,149935,171845,0,1,0,0
9461,158391966,149935,171845,0,1,0,2
9462,158407591,149943,171889,0,1,1,0
9463,158423216,149938,171887,0,1,0,0
9464,158438841,149938,171887,0,1,0,2
9465,158454466,149938,171887,0,1,0,2
9466,158470091,149938,171887,0,1,0,2
9467,158485716,149938,171887,0,1,0,2
9468,158501341,149987,172036,0,1,1,0
9469,158516966,149986,172042,0,1,0,0
9470,158532591,149986,172042,0,1,0,2
9471,158548216,149990,172120,0,1,1,0
9472,158563841,150010,172134,0,1,0,0
9473,158579466,150010,172134,0,1,0,2
9474,158595091,150032,172065,0,1,1,0
9475,158610716,149959,171877,0,1,0,0
9476,158626341,149959,171877,0,1,0,2
9477,158641966,149874,171675,0,1,1,0
9478,158657591,149835,171650,0,1,0,0
9479,158673216,149835,171650,0,1,0,2
9480,158688841,149835,171650,0,1,0,2
9481,158704466,149835,171650,0,1,0,2
9482,158720091,149835,171650,0,1,0,2
9483,158735716,149855,171609,0,1,1,0
9484,158751341,149870,171610,0,1,0,0
9485,158766966,149870,171610,0,1,0,2
9486,158782591,149870,171610,0,1,0,2
9487,158798216,149809,171686,0,1,1,0
9488,158813841,149807,171722,0,1,0,0
9489,158829466,149807,171722,0,1,0,2
9490,158845091,149907,171667,0,1,1,0
9491,158860716,149902,171675,0,1,0,0
9492,158876341,149902,171675,0,1,0,2
9493,158891966,149886,171696,0,1,1,0
9494,158907591,149864,171717,0,1,0,0
9495,158923216,149864,171717,0,1,0,2
9496,158938841,149825,171761,0,1,0,0
9497,158954466,149825,171761,0,1,0,2
9498,158970091,149825,171761,0,1,0,2
9499,158985716,149825,171761,0,1,0,2
9500,159001341,149856,171798,0,1,1,0
9501,159016966,149865,171838,0,1,0,0
9502,159032591,149865,171838,0,1,0,2
9503,159048216,149859,171895,0,1,1,0
9504,159063841,149884,171955,0,1,0,0
9505,159079466,149884,171955,0,1,0,2
9506,159095091,149915,172003,0,1,1,0
9507,159110716,149924,172048,0,1,0,0
9508,159126341,149924,172048,0,1,0,2
9509,159141966,149922,172127,0,1,0,0
9510,159157591,149922,172127,0,1,0,2
9511,159173216,149922,172127,0,1,0,2
9512,159188841,149922,172127,0,1,0,2
9513,159204466,149939,172178,0,1,1,0
9514,159220091,149958,172213,0,1,0,0
9515,159235716,149958,172213,0,1,0,2
9516,159251341,149951,172250,0,1,1,0
9517,159266966,149986,172268,0,1,0,0
9518,159282591,149986,172268,0,1,0,2
9519,159298216,150031,172270,0,1,1,0
9520,159313841,150050,172300,0,1,0,0
9521,159329466,150050,172300,0,1,0,2
9522,159345091,149975,172228,0,1,0,0
9523,159360716,149975,172228,0,1,0,2
9524,159376341,149975,172228,0,1,0,2
9525,159391966,149975,172228,0,1,0,2
9526,159407591,149944,171932,0,1,1,0
9527,159423216,149901,171837,0,1,0,0
9528,159438841,149901,171837,0,1,0,2
9529,159454466,149809,171852,0,1,1,0
9530,159470091,149759,171885,0,1,0,0
9531,159485716,149759,171885,0,1,0,2
9532,159501341,149869,171940,0,1,1,0
9533,159516966,149854,171955,0,1,0,0
9534,159532591,149854,171955,0,1,0,2
9535,159548216,149854,171955,0,1,0,2
9536,159563841,149854,171955,0,1,0,2
9537,159579466,149854,171955,0,1,0,2
9538,159595091,149876,172082,0,1,1,0
9539,159610716,149910,172107,0,1,0,0
9540,159626341,149910,172107,0,1,0,2
9541,159641966,149894,172104,0,1,1,0
9542,159657591,149893,172067,0,1,0,0
9543,159673216,149893,172067,0,1,0,2
9544,159688841,149909,172138,0,1,1,0
9545,159704466,149885,172131,0,1,0,0
9546,159720091,149885,172131,0,1,0,2
9547,159735716,149885,172131,0,1,0,2
9548,159751341,149883,172166,0,1,1,0
9549,159766966,149895,172193,0,1,0,0
9550,159782591,149938,172254,0,1,0,0
9551,159798216,149938,172254,0,1,0,2
9552,159813841,149938,172254,0,1,0,2
9553,159829466,149938,172254,0,1,0,2
9554,159845091,150002,172292,0,1,1,0
9555,159860716,149992,172332,0,1,0,0
9556,159876341,149992,172332,0,1,0,2
9557,159891966,150015,172401,0,1,1,0
9558,159907591,150028,172434,0,1,0,0
9559,159923216,150028,172434,0,1,0,2
9560,159938841,150028,172434,0,1,0,2
9561,159954466,149988,172532,0,1,1,0
9562,159970091,149976,172540,0,1,0,0
9563,159985716,149955,172607,0,1,0,0
9564,160001341,149955,172607,0,1,0,2
9565,160016966,149955,172607,0,1,0,2
9566,160032591,149955,172607,0,1,0,2
9567,160048216,150052,172651,0,1,1,0
9568,160063841,150073,172706,0,1,0,0
9569,160079466,150073,172706,0,1,0,2
9570,160095091,150085,172688,0,1,1,0
9571,160110716,150045,172557,0,1,0,0
9572,160126341,150045,172557,0,1,0,2
9573,160141966,150045,172557,0,1,0,2
9574,160157591,149938,172248,0,1,1,0
9575,160173216,149915,172124,0,1,0,0
9576,160188841,149756,172114,0,1,0,0
9577,160204466,149756,172114,0,1,0,2
9578,160220091,149756,172114,0,1,0,2
9579,160235716,149756,172114,0,1,0,2
9580,160251341,149847,172135,0,1,1,0
9581,160266966,149797,172137,0,1,0,0
9582,160282591,149797,172137,0,1,0,2
9583,160298216,149826,172193,0,1,1,0
9584,160313841,149869,172212,0,1,0,0
9585,160329466,149869,172212,0,1,0,2
9586,160345091,149869,172212,0,1,0,2
9587,160360716,149861,172231,0,1,1,0
9588,160376341,149855,172278,0,1,0,0
9589,160391966,149816,172254,0,1,0,0
9590,160407591,149816,172254,0,1,0,2
9591,160423216,149816,172254,0,1,0,2
9592,160438841,149816,172254,0,1,0,2
9593,160454466,149882,172153,0,1,1,0
9594,160470091,149888,172174,0,1,0,0
9595,160485716,149888,172174,0,1,0,2
9596,160501341,149898,172231,0,1,1,0
9597,160516966,149909,172251,0,1,0,0
9598,160532591,149909,172251,0,1,0,2
9599,160548216,149909,172251,0,1,0,2
9600,160563841,149867,172366,0,1,1,0
9601,160579466,149880,172375,0,1,0,0
9602,160595091,149876,172448,0,1,0,0
9603,160610716,149876,172448,0,1,0,2
9604,160626341,149876,172448,0,1,0,2
9605,160641966,149876,172448,0,1,0,2
9606,160657591,149924,172490,0,1,1,0
9607,160673216,149930,172539,0,1,0,0
9608,160688841,149930,172539,0,1,0,2
9609,160704466,149945,172555,0,1,1,0
9610,160720091,149961,172573,0,1,0,0
9611,160735716,149961,172573,0,1,0,2
9612,160751341,149961,172573,0,1,0,2
9613,160766966,149957,172549,0,1,1,0
9614,160782591,149962,172579,0,1,0,0
9615,160798216,150021,172766,0,1,0,0
9616,160813841,150021,172766,0,1,0,2
9617,160829466,150021,172766,0,1,0,2
9618,160845091,150021,172766,0,1,0,2
9619,160860716,149976,172681,0,1,1,0
9620,160876341,149993,172529,0,1,0,0
9621,160891966,149993,172529,0,1,0,2
9622,160907591,149890,172241,0,1,1,0
9623,160923216,149845,172135,0,1,0,0
9624,160938841,149845,172135,0,1,0,2
9625,160954466,149829,172086,0,1,1,0
9626,160970091,149816,172106,0,1,0,0
9627,160985716,149816,172106,0,1,0,2
9628,161001341,149761,172132,0,1,0,0
9629,161016966,149761,172132,0,1,0,2
9630,161032591,149761,172132,0,1,0,2
