idx,t_us,red,ir,green,finger,rb_used,flags
1973,36064642,738,671,0,0,1,0
1974,36074642,731,684,0,0,0,0
1975,36084642,731,684,0,0,0,2
1976,36094642,731,684,0,0,0,2
1977,36104642,731,684,0,0,0,2
1978,36114642,731,684,0,0,0,2
1979,36124642,731,684,0,0,0,2
1980,36134642,731,684,0,0,0,2
1981,36144642,731,684,0,0,0,2
1982,36154642,710,661,0,0,1,0
1983,36164642,712,648,0,0,0,0
1984,36174642,712,648,0,0,0,2
1985,36184642,712,648,0,0,0,2
1986,36194642,712,648,0,0,0,2
1987,36204642,744,696,0,0,1,0
1988,36214642,717,690,0,0,0,0
1989,36224642,717,690,0,0,0,2
1990,36234642,717,690,0,0,0,2
1991,36244642,717,690,0,0,0,2
1992,36254642,736,716,0,0,1,0
1993,36264642,735,679,0,0,0,0
1994,36274642,735,679,0,0,0,2
1995,36284642,735,679,0,0,0,2
1996,36294642,735,679,0,0,0,2
1997,36304642,729,659,0,0,1,0
1998,36314642,757,658,0,0,0,0
1999,36324642,757,658,0,0,0,2
2000,36334642,757,658,0,0,0,2
2001,36344642,757,658,0,0,0,2
2002,36354642,757,658,0,0,0,2
2003,36364642,757,658,0,0,0,2
2004,36374642,757,658,0,0,0,2
2005,36384642,757,658,0,0,0,2
2006,36394642,757,658,0,0,0,2
2007,36404642,750,642,0,0,1,0
2008,36414642,760,632,0,0,0,0
2009,36424642,760,632,0,0,0,2
2010,36434642,760,632,0,0,0,2
2011,36444642,725,698,0,0,1,0
2012,36454642,725,699,0,0,0,0
2013,36464642,725,699,0,0,0,2
2014,36474642,725,699,0,0,0,2
2015,36484642,725,699,0,0,0,2
2016,36494642,757,630,0,0,1,0
2017,36504642,760,614,0,0,0,0
2018,36514642,760,614,0,0,0,2
2019,36524642,760,614,0,0,0,2
2020,36534642,760,614,0,0,0,2
2021,36544642,713,695,0,0,1,0
2022,36554642,715,683,0,0,0,0
2023,36564642,715,683,0,0,0,2
2024,36574642,715,683,0,0,0,2
