hop,fs,latency_s,active_mean,infer_ms_s_mean,rx_ms_s_mean,eproxy_ms_s_mean,inf_s_mean,samp_s_mean,n_pwr_windows
128,64,2.0,69.284,585.0271,638.58078,1223.80744,0.4962,62.8626,50
256,64,4.0,43.81578947368421,288.41914035087717,330.56956140350877,619.0877192982456,0.2446157894736842,63.29070175438596,57
384,64,6.0,35.99803921568627,197.51966666666664,236.2039019607843,433.79096078431365,0.1675156862745098,63.461764705882345,51
512,64,8.0,31.431578947368422,144.1505789473684,180.8699298245614,325.0695789473685,0.12225263157894736,63.717368421052626,57
