dt,Fs,HOP,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,latency_s_theory
5.0,64.0,384.0,60.2,0.0,18.7,0.0,0.0,28.858,28.858,4.707523822784424,64,384,6.0
5.0,64.0,384.0,63.2,0.2,39.3,235.855,0.077,276.326,512.258,9.707195520401001,64,384,6.0
5.0,64.0,384.0,63.4,0.2,39.2,235.823,0.081,275.48,511.383,14.717999696731567,64,384,6.0
5.0,64.0,384.0,63.2,0.2,39.3,235.774,0.078,275.715,511.566,19.705934047698975,64,384,6.0
5.7,64.0,384.0,62.93,0.1753,36.8,206.668,0.068,245.192,451.928,25.409939289093018,64,384,6.0
6.1,64.0,384.0,63.65,0.164,35.5,193.416,0.063,231.614,425.093,31.504756212234497,64,384,6.0
6.03,64.0,384.0,63.66,0.1658,35.7,195.476,0.067,233.048,428.591,37.53570246696472,64,384,6.0
6.03,64.0,384.0,63.66,0.1658,35.9,195.464,0.064,233.537,429.065,43.56775641441345,64,384,6.0
6.03,64.0,384.0,62.7,0.1659,35.7,195.577,0.069,233.827,429.473,49.5962028503418,64,384,6.0
6.13,64.0,384.0,63.01,0.1632,35.5,192.502,0.066,230.789,423.357,55.72224164009094,64,384,6.0
6.09,64.0,384.0,62.85,0.1641,35.6,193.474,0.068,230.804,424.346,61.81523323059082,64,384,6.0
6.11,64.0,384.0,63.65,0.1636,35.6,192.934,0.068,231.403,424.405,67.92615842819214,64,384,6.0
6.03,64.0,384.0,63.81,0.1657,35.8,195.427,0.067,234.661,430.155,73.97048330307007,64,384,6.0
6.03,64.0,384.0,64.0,0.1658,35.8,195.492,0.067,233.157,428.716,80.00067472457886,64,384,6.0
6.0,64.0,384.0,63.7,0.1668,36.0,196.612,0.065,234.906,431.582,85.9872395992279,64,384,6.0
6.02,64.0,384.0,63.33,0.1662,35.8,196.008,0.064,234.47,430.542,92.0024778842926,64,384,6.0
6.07,64.0,384.0,63.48,0.1649,35.7,194.435,0.067,232.668,427.17,98.06680130958557,64,384,6.0
6.05,64.0,384.0,63.03,0.1654,35.9,195.054,0.069,233.21,428.333,104.1109049320221,64,384,6.0
6.09,64.0,384.0,63.0,0.1641,35.5,193.454,0.063,231.801,425.319,110.20600247383118,64,384,6.0
6.1,64.0,384.0,63.3,0.164,35.6,193.366,0.071,231.804,425.241,116.31108522415161,64,384,6.0
6.08,64.0,384.0,63.35,0.1646,35.7,194.004,0.064,232.104,426.172,122.3928554058075,64,384,6.0
6.06,64.0,384.0,63.83,0.1649,35.8,194.488,0.064,233.742,428.293,128.4559621810913,64,384,6.0
6.01,64.0,384.0,62.55,0.1664,35.8,196.197,0.069,234.237,430.503,134.45400023460388,64,384,6.0
6.13,64.0,384.0,63.77,0.1631,35.6,192.276,0.066,231.157,423.499,140.59380316734314,64,384,6.0
6.03,64.0,384.0,63.35,0.1658,35.9,195.53,0.069,234.076,429.675,146.61591148376465,64,384,6.0
6.05,64.0,384.0,63.85,0.1654,35.7,195.056,0.064,233.779,428.899,152.65630674362183,64,384,6.0
6.01,64.0,384.0,62.84,0.1663,35.9,196.036,0.067,234.34,430.443,158.670254945755,64,384,6.0
6.11,64.0,384.0,63.33,0.1636,35.6,192.952,0.063,230.749,423.764,164.78117513656616,64,384,6.0
6.06,64.0,384.0,63.49,0.1649,35.7,194.443,0.068,233.836,428.348,170.84371829032898,64,384,6.0
6.05,64.0,384.0,63.83,0.1654,35.8,194.998,0.071,233.589,428.659,176.89963221549988,64,384,6.0
6.02,64.0,384.0,63.99,0.1662,35.9,195.963,0.064,234.329,430.357,182.91599702835083,64,384,6.0
6.01,64.0,384.0,63.18,0.1663,35.9,196.036,0.069,235.365,431.47,188.93275260925293,64,384,6.0
6.08,64.0,384.0,63.64,0.1644,35.7,193.929,0.066,233.277,427.272,195.01023149490356,64,384,6.0
6.03,64.0,384.0,63.68,0.1658,35.9,195.49,0.067,234.093,429.65,201.0500090122223,64,384,6.0
6.03,64.0,384.0,62.87,0.1659,35.9,195.607,0.064,233.809,429.48,207.05896306037903,64,384,6.0
6.1,64.0,384.0,63.63,0.164,35.6,193.367,0.063,232.551,425.981,213.16599535942078,64,384,6.0
6.05,64.0,384.0,63.85,0.1654,35.8,195.065,0.071,233.56,428.697,219.20061111450195,64,384,6.0
6.0,64.0,384.0,63.99,0.1666,36.1,196.474,0.065,235.282,431.821,225.2675371170044,64,384,6.0
6.0,64.0,384.0,63.82,0.1666,35.9,196.497,0.069,236.03,432.596,231.21223425865173,64,384,6.0
6.03,64.0,384.0,63.98,0.1658,35.8,195.446,0.071,234.638,430.155,237.24298071861267,64,384,6.0
6.0,64.0,384.0,63.5,0.1667,35.9,196.495,0.069,235.268,431.832,243.24462938308716,64,384,6.0
6.05,64.0,384.0,63.67,0.1654,35.9,194.977,0.068,234.79,429.836,249.29018759727478,64,384,6.0
6.03,64.0,384.0,63.87,0.1659,35.8,195.611,0.071,234.384,430.067,255.30595111846924,64,384,6.0
6.0,64.0,384.0,63.16,0.1666,35.9,196.467,0.064,234.578,431.11,261.3136782646179,64,384,6.0
6.08,64.0,384.0,63.49,0.1645,35.8,193.923,0.068,232.857,426.848,267.3973672389984,64,384,6.0
6.05,64.0,384.0,63.83,0.1654,35.8,195.019,0.064,234.568,429.652,273.4442331790924,64,384,6.0
6.03,64.0,384.0,63.18,0.1658,35.8,195.564,0.067,233.744,429.374,279.4617762565613,64,384,6.0
6.06,64.0,384.0,63.65,0.1649,35.8,194.436,0.064,232.932,427.432,285.52541947364807,64,384,6.0
6.03,64.0,384.0,62.85,0.1658,35.8,195.537,0.067,234.479,430.084,291.55540895462036,64,384,6.0
6.11,64.0,384.0,63.65,0.1636,35.6,192.916,0.066,231.907,424.889,297.67739629745483,64,384,6.0
6.05,64.0,384.0,63.35,0.1654,35.8,195.009,0.064,233.598,428.672,303.71235823631287,64,384,6.0
6.05,64.0,384.0,63.97,0.1653,35.8,194.884,0.064,234.339,429.286,309.77044010162354,64,384,6.0
