dt,Fs,HOP,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,latency_s_theory
6.17,64.0,256.0,63.2,0.3241,51.8,382.144,0.126,428.078,810.348,260.35069370269775,64,256,4.0
5.0,64.0,256.0,63.6,0.2,39.3,235.821,0.083,276.041,511.945,265.34962940216064,64,256,4.0
5.0,64.0,256.0,64.4,0.2,39.3,235.847,0.081,276.148,512.076,270.34928607940674,64,256,4.0
6.06,64.0,256.0,63.38,0.3301,52.6,389.168,0.14,435.645,824.953,276.3994505405426,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.837,0.077,276.687,512.601,281.397643327713,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.839,0.081,276.271,512.191,286.39762330055237,64,256,4.0
6.18,64.0,256.0,62.91,0.3235,51.9,381.406,0.132,427.127,808.665,292.5855026245117,64,256,4.0
5.0,64.0,256.0,62.8,0.2,39.4,235.815,0.083,277.087,512.985,297.5813934803009,64,256,4.0
5.0,64.0,256.0,63.4,0.2,39.3,235.81,0.077,276.572,512.459,302.58292627334595,64,256,4.0
6.23,64.0,256.0,63.42,0.3211,51.6,378.679,0.13,423.82,802.629,308.8145225048065,64,256,4.0
