dt,Fs,HOP,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,latency_s_theory
5.0,64.0,512.0,60.2,0.0,18.6,0.0,0.0,28.427,28.427,4.708244800567627,64,512,8.0
5.0,64.0,512.0,62.8,0.2,39.3,235.857,0.081,275.185,511.123,9.708085775375366,64,512,8.0
5.0,64.0,512.0,64.0,0.0,19.1,0.0,0.0,31.055,31.055,14.707761764526367,64,512,8.0
5.0,64.0,512.0,63.4,0.2,39.3,235.808,0.078,276.476,512.362,19.707640647888184,64,512,8.0
5.68,64.0,512.0,63.41,0.1761,36.8,207.713,0.071,246.279,454.063,25.383776664733887,64,512,8.0
5.0,64.0,512.0,64.2,0.0,19.0,0.0,0.0,30.132,30.132,30.39354658126831,64,512,8.0
5.0,64.0,512.0,63.2,0.2,39.3,235.816,0.083,275.268,511.167,35.393370151519775,64,512,8.0
6.1,64.0,512.0,63.8,0.164,35.6,193.387,0.068,232.298,425.753,41.48911762237549,64,512,8.0
5.0,64.0,512.0,64.0,0.0,19.0,0.0,0.0,30.264,30.264,46.48745846748352,64,512,8.0
5.0,64.0,512.0,63.6,0.2,39.3,235.836,0.081,275.22,511.138,51.4873948097229,64,512,8.0
6.06,64.0,512.0,63.36,0.165,35.8,194.543,0.064,233.504,428.111,57.54000949859619,64,512,8.0
5.0,64.0,512.0,64.2,0.0,19.0,0.0,0.0,31.19,31.19,62.54944181442261,64,512,8.0
5.0,64.0,512.0,63.2,0.2,39.3,235.846,0.081,275.461,511.388,67.54947829246521,64,512,8.0
6.11,64.0,512.0,63.14,0.1636,35.7,192.88,0.063,231.322,424.266,73.66055965423584,64,512,8.0
5.0,64.0,512.0,64.0,0.0,18.9,0.0,0.0,31.073,31.073,78.65898728370667,64,512,8.0
5.0,64.0,512.0,62.8,0.2,39.3,235.818,0.083,276.227,512.128,83.65934205055237,64,512,8.0
6.13,64.0,512.0,53.99,0.1631,35.0,192.318,0.063,223.561,415.942,89.78255248069763,64,512,8.0
5.0,64.0,512.0,75.8,0.0,19.8,0.0,0.0,38.501,38.501,94.7842869758606,64,512,8.0
5.0,64.0,512.0,63.4,0.2,39.3,235.818,0.083,276.273,512.173,99.78440284729004,64,512,8.0
6.12,64.0,512.0,63.11,0.1635,35.5,192.814,0.066,230.977,423.858,105.89818215370178,64,512,8.0
