pc_time_s,recording,idx,t_us,red,ir,green,rb_used,flags,finger,underflow,overflow,catchup
1767648975.4691803,0,7207,75088437,138681,189398,0,0,11,1,1,0,1
1767648975.4708226,0,7208,75098437,138681,189398,0,0,11,1,1,0,1
1767648975.4724398,0,7209,75108437,138681,189398,0,0,11,1,1,0,1
1767648975.5158768,0,7210,75118437,138744,189318,0,1,1,1,0,0,0
1767648975.5173647,0,7211,75128437,138722,189319,0,0,9,1,0,0,1
1767648975.518949,0,7212,75138437,138722,189319,0,0,11,1,1,0,1
1767648975.5205865,0,7213,75148437,138722,189319,0,0,11,1,1,0,1
1767648975.522164,0,7214,75158437,138722,189319,0,0,11,1,1,0,1
1767648975.5647144,0,7215,75168437,138729,189338,0,1,9,1,0,0,1
1767648975.5662587,0,7216,75178437,138756,189344,0,0,9,1,0,0,1
1767648975.5678902,0,7217,75188437,138756,189344,0,0,11,1,1,0,1
1767648975.5694757,0,7218,75198437,138756,189344,0,0,11,1,1,0,1
1767648975.5710318,0,7219,75208437,138756,189344,0,0,11,1,1,0,1
1767648975.614978,0,7220,75218437,138735,189304,0,1,1,1,0,0,0
1767648975.6164007,0,7221,75228437,138717,189330,0,0,9,1,0,0,1
1767648975.6181033,0,7222,75238437,138717,189330,0,0,11,1,1,0,1
1767648975.6197226,0,7223,75248437,138717,189330,0,0,11,1,1,0,1
1767648975.6213965,0,7224,75258437,138717,189330,0,0,11,1,1,0,1
1767648975.6229491,0,7225,75268437,138717,189330,0,0,11,1,1,0,1
1767648975.6658292,0,7226,75278437,138724,189348,0,1,1,1,0,0,0
1767648975.6675794,0,7227,75288437,138725,189335,0,0,9,1,0,0,1
1767648975.6690423,0,7228,75298437,138725,189335,0,0,11,1,1,0,1
1767648975.6706874,0,7229,75308437,138725,189335,0,0,11,1,1,0,1
1767648975.6723094,0,7230,75318437,138725,189335,0,0,11,1,1,0,1
1767648975.7157717,0,7231,75328437,138716,189350,0,1,1,1,0,0,0
