dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
7.2,64.0,384,2,0.0,2,63.16,0.2776,47.4,702.583,328.279,0.128,374.176,161.40893697738647,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,31.535,0.0,0.0,31.535,166.40933632850647,64,384,2,12.0
7.1,64.0,384,2,0.0,2,63.13,0.2818,47.9,712.66,333.279,0.128,379.253,173.50334000587463,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.972,0.0,0.0,32.972,178.50364232063293,64,384,2,12.0
7.09,64.0,384,2,0.0,2,62.59,0.2819,47.8,712.246,333.345,0.127,378.774,185.59764170646667,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.4,32.62,0.0,0.0,32.62,190.59780097007751,64,384,2,12.0
7.16,64.0,384,2,0.0,2,62.99,0.2793,47.6,707.555,330.35,0.129,377.076,197.75405025482178,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.208,0.0,0.0,32.208,202.75404024124146,64,384,2,12.0
7.1,64.0,384,2,0.0,2,62.78,0.2815,47.7,710.917,332.916,0.123,377.878,209.86346626281738,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,33.114,0.0,0.0,33.114,214.863920211792,64,384,2,12.0
7.15,64.0,384,2,0.0,2,63.81,0.2799,47.6,708.476,330.965,0.128,377.383,222.00499534606934,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.3,32.268,0.0,0.0,32.268,227.00482153892517,64,384,2,12.0
7.01,64.0,384,2,0.0,2,63.02,0.2851,48.3,720.726,337.14,0.129,383.457,234.0208249092102,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,33.262,0.0,0.0,33.262,239.02103877067566,64,384,2,12.0
7.11,64.0,384,2,0.0,2,63.12,0.2812,47.8,711.326,332.478,0.127,378.721,246.13062858581543,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.4,32.792,0.0,0.0,32.792,251.13109064102173,64,384,2,12.0
7.09,64.0,384,2,0.0,2,63.3,0.282,47.8,713.559,333.591,0.131,379.837,258.22468972206116,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,31.839,0.0,0.0,31.839,263.2250928878784,64,384,2,12.0
7.07,64.0,384,2,0.0,2,63.34,0.2828,47.9,714.018,334.198,0.125,379.695,270.3032503128052,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,33.32,0.0,0.0,33.32,275.30358242988586,64,384,2,12.0
7.08,64.0,384,2,0.0,2,62.85,0.2825,47.8,714.103,334.026,0.125,379.952,282.38224148750305,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.102,0.0,0.0,32.102,287.38199758529663,64,384,2,12.0
7.13,64.0,384,2,0.0,2,62.58,0.2806,47.7,709.06,331.849,0.124,377.086,294.50703978538513,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,33.468,0.0,0.0,33.468,299.50729489326477,64,384,2,12.0
7.16,64.0,384,2,0.0,2,62.84,0.2793,47.6,706.663,330.204,0.121,376.337,306.66444301605225,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.3,31.704,0.0,0.0,31.704,311.6644024848938,64,384,2,12.0
