dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
5.0,64.0,384,2,0.0,0,57.6,0.0,18.6,27.722,0.0,0.0,27.722,5.730356693267822,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.199,0.0,0.0,32.199,10.731032371520996,64,384,2,12.0
5.0,64.0,384,2,0.0,2,62.2,0.4,59.9,997.581,472.984,0.182,524.415,15.730692625045776,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.128,0.0,0.0,32.128,20.73106360435486,64,384,2,12.0
7.14,64.0,384,2,0.0,2,62.51,0.2803,47.6,707.378,331.385,0.127,375.866,27.87195658683777,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.1,32.213,0.0,0.0,32.213,32.87250781059265,64,384,2,12.0
7.18,64.0,384,2,0.0,2,62.55,0.2786,47.4,704.685,329.466,0.122,375.097,40.04476809501648,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,31.22,0.0,0.0,31.22,45.04504132270813,64,384,2,12.0
7.15,64.0,384,2,0.0,2,63.18,0.2796,47.6,706.294,330.543,0.129,375.622,52.2016282081604,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.933,0.0,0.0,32.933,57.201884508132935,64,384,2,12.0
7.1,64.0,384,2,0.0,2,63.28,0.2818,47.8,711.6,333.285,0.128,378.187,64.29550576210022,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.3,31.884,0.0,0.0,31.884,69.29581212997437,64,384,2,12.0
7.08,64.0,384,2,0.0,2,62.45,0.2826,47.9,714.454,334.167,0.128,380.159,76.3742880821228,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.1,31.329,0.0,0.0,31.329,81.37444138526917,64,384,2,12.0
7.17,64.0,384,2,0.0,2,63.06,0.279,47.5,704.248,329.858,0.117,374.273,88.53080010414124,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,32.683,0.0,0.0,32.683,93.53110194206238,64,384,2,12.0
7.12,64.0,384,2,0.0,2,62.95,0.281,47.7,710.961,332.415,0.124,378.422,100.65683913230896,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.2,31.55,0.0,0.0,31.55,105.65670037269592,64,384,2,12.0
7.11,64.0,384,2,0.0,2,62.76,0.2815,47.8,710.64,332.835,0.128,377.677,112.76632380485535,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.1,32.472,0.0,0.0,32.472,117.76641917228699,64,384,2,12.0
7.14,64.0,384,2,0.0,2,62.43,0.28,47.6,707.377,331.033,0.12,376.224,124.9076509475708,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.3,32.158,0.0,0.0,32.158,129.9075939655304,64,384,2,12.0
7.17,64.0,384,2,0.0,2,62.88,0.2789,47.5,705.199,329.842,0.121,375.236,137.07982230186462,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.3,32.723,0.0,0.0,32.723,142.0803828239441,64,384,2,12.0
7.12,64.0,384,2,0.0,2,62.19,0.2808,47.7,709.118,332.018,0.131,376.97,149.20570635795593,64,384,2,12.0
5.0,64.0,384,2,1.0,1,64.0,0.0,19.1,32.417,0.0,0.0,32.417,154.20566391944885,64,384,2,12.0
