dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
5.0,64.0,384,4,0.0,0,57.6,0.0,18.5,28.653,0.0,0.0,28.653,5.727735280990601,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,31.479,0.0,0.0,31.479,10.727817058563232,64,384,4,24.0
5.0,64.0,384,4,2.0,2,64.0,0.0,19.2,31.58,0.0,0.0,31.58,15.728546857833862,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.3,32.808,0.0,0.0,32.808,20.72793197631836,64,384,4,24.0
9.52,64.0,384,4,0.0,4,61.86,0.4201,61.8,1046.233,496.665,0.193,549.375,30.259864568710327,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,31.239,0.0,0.0,31.239,35.260221004486084,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.3,32.329,0.0,0.0,32.329,40.260273694992065,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.1,32.24,0.0,0.0,32.24,45.260594844818115,64,384,4,24.0
9.32,64.0,384,4,0.0,4,62.33,0.4291,62.8,1068.266,507.259,0.194,560.813,54.57323169708252,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.3,31.905,0.0,0.0,31.905,59.57294797897339,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.1,32.35,0.0,0.0,32.35,64.57371091842651,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.2,31.927,0.0,0.0,31.927,69.57379603385925,64,384,4,24.0
9.24,64.0,384,4,0.0,4,62.14,0.433,63.1,1076.212,511.73,0.204,564.278,78.80816149711609,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.1,32.405,0.0,0.0,32.405,83.80826592445374,64,384,4,24.0
5.0,64.0,384,4,2.0,2,64.0,0.0,19.2,31.907,0.0,0.0,31.907,88.80898714065552,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.2,31.63,0.0,0.0,31.63,93.80893301963806,64,384,4,24.0
9.27,64.0,384,4,0.0,4,62.86,0.4313,63.0,1073.318,509.963,0.202,563.153,103.0903730392456,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.1,31.969,0.0,0.0,31.969,108.09050107002258,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.2,31.001,0.0,0.0,31.001,113.0908944606781,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.3,31.538,0.0,0.0,31.538,118.09104752540588,64,384,4,24.0
9.15,64.0,384,4,0.0,4,62.07,0.4371,63.6,1086.816,516.788,0.202,569.825,127.2316484451294,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,31.676,0.0,0.0,31.676,132.2318456172943,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.2,31.564,0.0,0.0,31.564,137.23198771476746,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.3,33.335,0.0,0.0,33.335,142.23199105262756,64,384,4,24.0
9.29,64.0,384,4,0.0,4,61.81,0.4308,62.9,1072.276,509.239,0.194,562.844,151.52937293052673,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,31.646,0.0,0.0,31.646,156.52957916259766,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.97,0.0,19.4,32.41,0.0,0.0,32.41,161.53048181533813,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.1,32.577,0.0,0.0,32.577,166.53015089035034,64,384,4,24.0
9.32,64.0,384,4,0.0,4,62.79,0.4293,62.8,1069.074,507.49,0.187,561.397,175.84300756454468,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.4,32.652,0.0,0.0,32.652,180.84281492233276,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.2,32.734,0.0,0.0,32.734,185.8429388999939,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.2,0.0,19.2,32.942,0.0,0.0,32.942,190.8435845375061,64,384,4,24.0
9.16,64.0,384,4,0.0,4,62.54,0.4366,63.5,1085.378,515.912,0.203,569.263,199.9999177455902,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,32.721,0.0,0.0,32.721,205.0002634525299,64,384,4,24.0
5.0,64.0,384,4,2.0,2,64.0,0.0,19.2,32.429,0.0,0.0,32.429,210.00014424324036,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.3,32.175,0.0,0.0,32.175,215.00040411949158,64,384,4,24.0
9.2,64.0,384,4,0.0,4,62.36,0.4346,63.4,1080.716,513.787,0.194,566.735,224.20382380485535,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,33.35,0.0,0.0,33.35,229.20428943634033,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.2,31.752,0.0,0.0,31.752,234.20392727851868,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.3,32.389,0.0,0.0,32.389,239.2048909664154,64,384,4,24.0
9.24,64.0,384,4,0.0,4,62.99,0.4329,63.2,1077.892,511.943,0.193,565.755,248.45510077476501,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.2,32.427,0.0,0.0,32.427,253.45491766929626,64,384,4,24.0
5.0,64.0,384,4,2.0,2,64.0,0.0,19.3,31.523,0.0,0.0,31.523,258.45490980148315,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.2,32.641,0.0,0.0,32.641,263.455335855484,64,384,4,24.0
9.15,64.0,384,4,0.0,4,62.08,0.4372,63.6,1088.51,516.872,0.195,571.443,272.59625697135925,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.3,32.145,0.0,0.0,32.145,277.5962178707123,64,384,4,24.0
5.0,64.0,384,4,2.0,2,63.99,0.0,19.3,32.563,0.0,0.0,32.563,282.59711146354675,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.2,33.146,0.0,0.0,33.146,287.59729075431824,64,384,4,24.0
9.28,64.0,384,4,0.0,4,61.23,0.4312,63.0,1073.409,509.789,0.202,563.417,296.8783338069916,64,384,4,24.0
5.0,64.0,384,4,1.0,1,64.0,0.0,19.4,32.888,0.0,0.0,32.888,301.87821340560913,64,384,4,24.0
5.0,64.0,384,4,2.0,2,64.0,0.0,19.2,33.279,0.0,0.0,33.279,306.8787250518799,64,384,4,24.0
5.0,64.0,384,4,3.0,3,64.0,0.0,19.1,31.962,0.0,0.0,31.962,311.87867856025696,64,384,4,24.0
