dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
5.0,64.0,384,8,0.0,0,57.6,0.0,18.7,27.85,0.0,0.0,27.85,5.740586757659912,64,384,8,48.0
5.0,64.0,384,8,1.0,1,64.0,0.0,19.2,32.42,0.0,0.0,32.42,10.740813732147217,64,384,8,48.0
5.0,64.0,384,8,2.0,2,64.0,0.0,19.2,32.557,0.0,0.0,32.557,15.740674018859863,64,384,8,48.0
5.0,64.0,384,8,3.0,3,64.0,0.0,19.3,31.881,0.0,0.0,31.881,20.725619554519653,64,384,8,48.0
5.0,64.0,384,8,4.0,4,64.0,0.0,19.2,31.35,0.0,0.0,31.35,25.741769790649414,64,384,8,48.0
5.0,64.0,384,8,4.0,0,64.0,0.0,19.2,32.079,0.0,0.0,32.079,30.72610068321228,64,384,8,48.0
5.0,64.0,384,8,5.0,5,64.0,0.0,19.1,32.362,0.0,0.0,32.362,35.72631478309631,64,384,8,48.0
5.0,64.0,384,8,6.0,6,64.0,0.0,19.2,31.45,0.0,0.0,31.45,40.72598123550415,64,384,8,48.0
5.0,64.0,384,8,7.0,7,64.0,0.0,19.2,31.305,0.0,0.0,31.305,45.7261700630188,64,384,8,48.0
13.53,64.0,384,8,1.0,8,61.2,0.5913,79.1,1458.606,698.971,0.271,759.364,59.25794458389282,64,384,8,48.0
5.0,64.0,384,8,2.0,2,64.0,0.0,19.2,31.172,0.0,0.0,31.172,64.25843048095703,64,384,8,48.0
5.0,64.0,384,8,3.0,3,64.0,0.0,19.3,32.287,0.0,0.0,32.287,69.25846648216248,64,384,8,48.0
5.0,64.0,384,8,4.0,4,64.0,0.0,19.2,32.731,0.0,0.0,32.731,74.25868773460388,64,384,8,48.0
5.0,64.0,384,8,4.0,0,64.0,0.0,19.2,31.744,0.0,0.0,31.744,79.25876641273499,64,384,8,48.0
5.0,64.0,384,8,5.0,5,64.0,0.0,19.2,31.462,0.0,0.0,31.462,84.25898957252502,64,384,8,48.0
5.0,64.0,384,8,6.0,6,64.0,0.0,19.3,31.903,0.0,0.0,31.903,89.25913858413696,64,384,8,48.0
5.0,64.0,384,8,7.0,7,64.0,0.0,19.2,32.634,0.0,0.0,32.634,94.25903129577637,64,384,8,48.0
13.6,64.0,384,8,1.0,8,60.22,0.5882,78.8,1450.999,695.099,0.271,755.629,107.86932635307312,64,384,8,48.0
5.0,64.0,384,8,2.0,2,64.0,0.0,19.1,32.135,0.0,0.0,32.135,112.86898636817932,64,384,8,48.0
5.0,64.0,384,8,3.0,3,63.99,0.0,19.2,32.024,0.0,0.0,32.024,117.86995482444763,64,384,8,48.0
5.0,64.0,384,8,4.0,4,64.0,0.0,19.2,31.644,0.0,0.0,31.644,122.86945080757141,64,384,8,48.0
5.0,64.0,384,8,4.0,0,64.0,0.0,19.3,32.168,0.0,0.0,32.168,127.86990690231323,64,384,8,48.0
5.0,64.0,384,8,5.0,5,64.0,0.0,19.1,32.414,0.0,0.0,32.414,132.86971354484558,64,384,8,48.0
5.0,64.0,384,8,6.0,6,64.0,0.0,19.2,32.291,0.0,0.0,32.291,137.87015295028687,64,384,8,48.0
5.0,64.0,384,8,7.0,7,64.0,0.0,19.3,32.479,0.0,0.0,32.479,142.86996150016785,64,384,8,48.0
13.8,64.0,384,8,1.0,8,60.8,0.5798,78.0,1430.51,685.333,0.268,744.909,156.66747665405273,64,384,8,48.0
5.0,64.0,384,8,2.0,2,64.0,0.0,19.2,31.713,0.0,0.0,31.713,161.66764378547668,64,384,8,48.0
5.0,64.0,384,8,3.0,3,64.0,0.0,19.3,31.565,0.0,0.0,31.565,166.66800904273987,64,384,8,48.0
5.0,64.0,384,8,4.0,4,64.0,0.0,19.2,33.413,0.0,0.0,33.413,171.6680269241333,64,384,8,48.0
5.0,64.0,384,8,4.0,0,64.0,0.0,19.2,32.812,0.0,0.0,32.812,176.668461561203,64,384,8,48.0
5.0,64.0,384,8,5.0,5,64.0,0.0,19.2,31.957,0.0,0.0,31.957,181.6685402393341,64,384,8,48.0
5.0,64.0,384,8,6.0,6,64.0,0.0,19.3,32.036,0.0,0.0,32.036,186.653315782547,64,384,8,48.0
5.0,64.0,384,8,7.0,7,64.0,0.0,19.2,33.375,0.0,0.0,33.375,191.66880297660828,64,384,8,48.0
13.7,64.0,384,8,1.0,8,61.67,0.5838,78.5,1441.489,689.984,0.262,751.243,205.35700678825378,64,384,8,48.0
5.0,64.0,384,8,2.0,2,64.0,0.0,19.2,32.545,0.0,0.0,32.545,210.35707831382751,64,384,8,48.0
5.0,64.0,384,8,3.0,3,64.0,0.0,19.3,33.265,0.0,0.0,33.265,215.35700941085815,64,384,8,48.0
5.0,64.0,384,8,4.0,4,64.0,0.0,19.2,32.287,0.0,0.0,32.287,220.3574502468109,64,384,8,48.0
5.0,64.0,384,8,4.0,0,64.0,0.0,19.3,32.138,0.0,0.0,32.138,225.35785365104675,64,384,8,48.0
5.0,64.0,384,8,5.0,5,64.0,0.0,19.3,33.228,0.0,0.0,33.228,230.35744380950928,64,384,8,48.0
5.0,64.0,384,8,6.0,6,64.0,0.0,19.2,32.834,0.0,0.0,32.834,235.357754945755,64,384,8,48.0
5.0,64.0,384,8,7.0,7,64.0,0.0,19.2,32.326,0.0,0.0,32.326,240.35761666297913,64,384,8,48.0
