dt,Fs,HOP,BATCH,pend_now,pend_peak,samp,inf,active,eproxy_ms_s,infer_ms_s,fill_ms_s,rx_ms_s,t_sec,fs_run,hop_run,batch_run,latency_s_theory
6.07,64.0,384,1,0.0,1,63.8,0.1649,36.0,431.54,195.076,0.076,236.388,250.771057844162,64,384,1,6.0
6.01,64.0,384,1,0.0,1,63.19,0.1663,36.1,433.195,196.611,0.077,236.507,256.78755497932434,64,384,1,6.0
6.08,64.0,384,1,0.0,1,63.66,0.1645,36.0,429.223,194.664,0.074,234.486,262.86554741859436,64,384,1,6.0
6.03,64.0,384,1,0.0,1,63.34,0.1658,36.0,433.187,196.147,0.069,236.971,268.897097826004,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.32,0.1649,36.0,430.753,195.177,0.077,235.499,274.95982599258423,64,384,1,6.0
6.06,64.0,384,1,0.0,1,63.53,0.165,36.0,430.052,195.216,0.069,234.767,281.0070219039917,64,384,1,6.0
6.05,64.0,384,1,0.0,1,63.33,0.1653,36.0,431.97,195.662,0.069,236.239,287.05380964279175,64,384,1,6.0
6.06,64.0,384,1,0.0,1,62.84,0.1649,35.9,430.378,195.087,0.077,235.214,293.1167356967926,64,384,1,6.0
6.11,64.0,384,1,0.0,1,64.01,0.1637,35.9,426.939,193.486,0.069,233.385,299.2265827655792,64,384,1,6.0
6.0,64.0,384,1,0.0,1,63.81,0.1666,36.2,434.91,197.124,0.07,237.717,305.24240255355835,64,384,1,6.0
6.02,64.0,384,1,0.0,1,63.33,0.1662,36.1,433.92,196.696,0.074,237.15,311.242529630661,64,384,1,6.0
