dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.0,64.0,384,1,1,63.8,0.2,38.1,235.799,0.105,271.684,507.587,257.22674465179443,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.1,235.824,0.125,271.867,507.816,262.2259728908539,64,384,1,16
5.25,64.0,384,1,1,63.61,0.1904,37.1,224.392,0.078,260.971,485.441,267.475257396698,64,384,1,16
6.0,64.0,384,1,1,62.83,0.1667,34.8,196.512,0.073,232.475,429.06,273.47396421432495,64,384,1,16
5.0,64.0,384,1,0,63.4,0.0,18.2,0.0,0.0,34.419,34.419,278.4787220954895,64,384,1,16
5.0,64.0,384,1,1,63.6,0.2,38.0,235.712,0.088,271.287,507.087,283.47991585731506,64,384,1,16
5.0,64.0,384,1,1,63.0,0.2,38.1,235.769,0.088,272.169,508.026,288.4796643257141,64,384,1,16
5.0,64.0,384,1,1,63.2,0.2,38.1,235.822,0.082,271.586,507.49,293.47579073905945,64,384,1,16
5.0,64.0,384,1,1,63.0,0.2,38.1,235.842,0.102,272.956,508.901,298.4804918766022,64,384,1,16
5.5,64.0,384,1,1,63.24,0.1817,36.2,214.176,0.078,250.687,464.941,303.97558546066284,64,384,1,16
6.0,64.0,384,1,1,63.33,0.1667,34.8,196.466,0.073,232.689,429.228,309.97582387924194,64,384,1,16
