dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
0.5,64.0,384,8,0,32.0,0.0,17.1,0.0,0.0,6.262,6.262,0.026650190353393555,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.7,0.0,0.0,13.768,13.768,0.527592658996582,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.7,0.0,0.0,16.076,16.076,1.0219800472259521,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,16.896,16.896,1.5292236804962158,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,16.246,16.246,2.022707939147949,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,16.096,16.096,2.522469997406006,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.636,14.636,3.022805690765381,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,15.686,15.686,3.5303099155426025,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,16.258,16.258,4.0222179889678955,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,16.406,16.406,4.522228240966797,64,384,1,16
0.5,64.0,384,8,1,64.0,0.0,17.7,0.0,0.0,16.4,16.4,5.027387857437134,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.942,13.942,5.527148485183716,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.476,13.476,6.027460098266602,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.7,0.0,0.0,16.256,16.256,6.5301923751831055,64,384,1,16
0.5,64.0,384,8,0,64.0,0.0,17.7,0.0,0.0,14.574,14.574,7.029307842254639,64,384,1,16
