dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
0.5,64.0,384,8,0,48.0,0.0,17.6,0.0,0.0,10.016,10.016,0.355914831161499,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,15.75,15.75,0.8551719188690186,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,15.704,15.704,1.3545911312103271,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.0,0.0,0.0,14.982,14.982,1.8503925800323486,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,14.828,14.828,2.3549509048461914,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,15.006,15.006,2.85322904586792,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.0,0.0,0.0,15.1,15.1,3.354219913482666,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,15.068,15.068,3.8530819416046143,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.962,14.962,4.355740308761597,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.0,0.0,0.0,14.198,14.198,4.853886365890503,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.668,14.668,5.351024150848389,64,384,1,8
0.5,64.0,384,8,5,64.0,0.0,17.9,0.0,0.0,13.478,13.478,5.8530590534210205,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.66,13.66,6.35384726524353,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,12.728,12.728,6.852039098739624,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.864,13.864,7.3541107177734375,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.816,14.816,7.854036808013916,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.76,14.76,8.35243558883667,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.422,13.422,8.854072093963623,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.222,14.222,9.354383707046509,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.32,14.32,9.853948593139648,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.624,13.624,10.352311849594116,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.59,13.59,10.85290789604187,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.884,13.884,11.353338718414307,64,384,1,8
0.5,64.0,384,8,6,64.0,0.0,17.8,0.0,0.0,14.328,14.328,11.853363513946533,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.122,14.122,12.353660821914673,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.716,14.716,12.854590654373169,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.0,0.0,0.0,13.99,13.99,13.35517144203186,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,15.374,15.374,13.8536958694458,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,15.906,15.906,14.3537118434906,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,15.818,15.818,14.853212356567383,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,14.718,14.718,15.347198724746704,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.3,0.0,0.0,15.086,15.086,15.852051973342896,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.2,0.0,0.0,14.3,14.3,16.353453397750854,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,15.534,15.534,16.85386848449707,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.874,13.874,17.35393261909485,64,384,1,8
0.5,64.0,384,8,7,64.0,0.0,17.9,0.0,0.0,12.992,12.992,17.849578857421875,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.942,13.942,18.3471200466156,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,12.74,12.74,18.847233057022095,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.244,14.244,19.34777331352234,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.416,14.416,19.852550506591797,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,14.902,14.902,20.35349750518799,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.41,13.41,20.85330057144165,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.998,13.998,21.35494565963745,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,15.302,15.302,21.85285758972168,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.9,0.0,0.0,13.688,13.688,22.353513479232788,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,14.494,14.494,22.846246242523193,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,17.8,0.0,0.0,13.698,13.698,23.352771520614624,64,384,1,8
9.54,64.0,384,8,8,63.74,0.8387,99.7,988.278,0.362,1007.662,1996.302,32.88736939430237,64,384,1,8
0.5,64.0,384,8,0,63.87,0.0,17.8,0.0,0.0,13.008,13.008,33.385661602020264,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,13.722,13.722,33.88567781448364,64,384,1,8
0.5,64.0,384,8,0,79.84,0.0,18.4,0.0,0.0,19.054,19.054,34.38704037666321,64,384,1,8
0.5,64.0,384,8,0,63.87,0.0,18.1,0.0,0.0,14.202,14.202,34.89486002922058,64,384,1,8
0.5,64.0,384,8,2,64.0,0.0,18.2,0.0,0.0,13.53,13.53,35.39513564109802,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.1,0.0,0.0,14.092,14.092,35.886656284332275,64,384,1,8
0.5,64.0,384,8,0,64.0,0.0,18.0,0.0,0.0,15.852,15.852,36.39525651931763,64,384,1,8
