dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.0,64.0,384,1,0,51.8,0.0,18.0,0.0,0.0,24.08,24.08,4.049376487731934,64,384,1,1
5.16,64.0,384,1,1,63.58,0.1938,38.1,228.634,0.08,261.329,490.043,9.21352481842041,64,384,1,1
5.0,64.0,384,1,1,63.4,0.2,38.6,235.879,0.082,269.013,504.974,14.204144954681396,64,384,1,1
5.08,64.0,384,1,1,63.2,0.1969,38.3,232.233,0.084,265.103,497.421,19.290186405181885,64,384,1,1
6.06,64.0,384,1,1,63.65,0.1649,35.1,194.438,0.075,226.366,420.879,25.353569746017456,64,384,1,1
6.03,64.0,384,1,1,63.35,0.1658,35.2,195.571,0.073,227.987,423.63,31.376210689544678,64,384,1,1
6.06,64.0,384,1,1,63.65,0.1649,35.1,194.505,0.075,227.012,421.592,37.447341203689575,64,384,1,1
6.03,64.0,384,1,1,63.85,0.1658,35.2,195.574,0.071,227.355,423.0,43.47051692008972,64,384,1,1
6.02,64.0,384,1,1,63.16,0.1662,35.3,196.046,0.068,228.039,424.153,49.48588728904724,64,384,1,1
6.08,64.0,384,1,1,63.67,0.1645,35.1,194.043,0.068,227.153,421.263,55.56394982337952,64,384,1,1
6.03,64.0,384,1,1,63.68,0.1658,35.2,195.591,0.075,227.307,422.974,61.59401345252991,64,384,1,1
6.03,64.0,384,1,1,63.97,0.1657,35.3,195.437,0.073,227.502,423.013,67.63532209396362,64,384,1,1
6.0,64.0,384,1,1,63.49,0.1666,35.3,196.523,0.073,229.685,426.281,73.63536953926086,64,384,1,1
6.05,64.0,384,1,1,63.35,0.1654,35.1,195.09,0.071,227.061,422.221,79.67346739768982,64,384,1,1
6.06,64.0,384,1,1,63.66,0.1649,35.2,194.489,0.068,226.501,421.057,85.73597478866577,64,384,1,1
6.03,64.0,384,1,1,63.99,0.1658,35.2,195.511,0.068,228.307,423.886,91.76765704154968,64,384,1,1
6.0,64.0,384,1,1,63.82,0.1666,35.3,196.521,0.073,229.467,426.062,97.77570104598999,64,384,1,1
6.01,64.0,384,1,1,62.7,0.1663,35.3,196.132,0.071,228.302,424.504,103.78223514556885,64,384,1,1
6.13,64.0,384,1,1,63.66,0.1632,35.0,192.525,0.072,224.382,416.978,109.90746665000916,64,384,1,1
6.03,64.0,384,1,1,62.97,0.1657,35.2,195.434,0.073,228.102,423.609,115.94774985313416,64,384,1,1
6.09,64.0,384,1,1,63.34,0.1641,35.1,193.555,0.07,225.823,419.448,122.04171323776245,64,384,1,1
6.06,64.0,384,1,1,63.36,0.165,35.3,194.583,0.068,226.82,421.471,128.09563970565796,64,384,1,1
6.06,64.0,384,1,1,63.69,0.165,35.1,194.575,0.071,227.14,421.786,134.15822076797485,64,384,1,1
6.04,64.0,384,1,1,63.78,0.1657,35.3,195.395,0.076,228.759,424.23,140.19804573059082,64,384,1,1
6.02,64.0,384,1,1,64.0,0.1662,35.3,195.988,0.076,228.326,424.39,146.21401572227478,64,384,1,1
6.0,64.0,384,1,1,63.7,0.1668,35.4,196.659,0.073,229.331,426.063,152.20559644699097,64,384,1,1
6.03,64.0,384,1,1,63.66,0.1658,35.2,195.512,0.071,228.792,424.375,158.2372784614563,64,384,1,1
6.03,64.0,384,1,1,64.0,0.1658,35.2,195.531,0.076,227.575,423.182,164.2767779827118,64,384,1,1
6.0,64.0,384,1,1,63.63,0.1666,35.5,196.466,0.068,229.488,426.022,170.27677392959595,64,384,1,1
6.03,64.0,384,1,1,63.51,0.1658,35.3,195.548,0.073,229.041,424.662,176.30816507339478,64,384,1,1
6.05,64.0,384,1,1,63.34,0.1654,35.2,195.042,0.075,227.539,422.656,182.35503220558167,64,384,1,1
6.06,64.0,384,1,1,63.36,0.165,35.3,194.571,0.072,227.104,421.748,188.4091603755951,64,384,1,1
6.06,64.0,384,1,1,63.49,0.1649,35.2,194.487,0.068,228.068,422.623,194.47998785972595,64,384,1,1
6.05,64.0,384,1,1,63.33,0.1653,35.2,195.006,0.071,227.991,423.068,200.52707767486572,64,384,1,1
6.06,64.0,384,1,1,63.2,0.165,35.2,194.538,0.068,226.681,421.286,206.58087515830994,64,384,1,1
6.08,64.0,384,1,1,63.31,0.1644,35.2,193.946,0.072,226.938,420.956,212.66817164421082,64,384,1,1
6.06,64.0,384,1,1,63.66,0.1649,35.2,194.515,0.072,228.02,422.608,218.73018670082092,64,384,1,1
6.03,64.0,384,1,1,64.15,0.1658,35.3,195.489,0.071,228.389,423.949,224.7611162662506,64,384,1,1
5.98,64.0,384,1,1,63.71,0.1672,35.5,197.2,0.073,229.807,427.081,230.73745727539062,64,384,1,1
6.03,64.0,384,1,1,64.29,0.1657,35.3,195.421,0.068,228.941,424.431,236.7775228023529,64,384,1,1
5.97,64.0,384,1,1,63.84,0.1676,35.4,197.61,0.076,230.492,428.178,242.74632143974304,64,384,1,1
6.02,64.0,384,1,1,63.66,0.1662,35.4,196.013,0.068,228.837,424.919,248.76168084144592,64,384,1,1
6.03,64.0,384,1,1,63.53,0.1659,35.3,195.614,0.073,228.879,424.566,254.78335785865784,64,384,1,1
6.05,64.0,384,1,1,63.65,0.1653,35.2,194.965,0.075,227.882,422.922,260.840407371521,64,384,1,1
6.03,64.0,384,1,1,63.67,0.1658,35.3,195.508,0.074,228.022,423.605,266.86322236061096,64,384,1,1
6.03,64.0,384,1,1,64.16,0.1658,35.4,195.51,0.073,228.725,424.308,272.9026868343353,64,384,1,1
5.98,64.0,384,1,1,64.0,0.1671,35.4,197.095,0.073,230.283,427.451,278.8787784576416,64,384,1,1
6.0,64.0,384,1,1,63.82,0.1666,35.3,196.528,0.076,229.064,425.668,284.88703775405884,64,384,1,1
6.02,64.0,384,1,1,63.16,0.1662,35.4,196.058,0.073,228.359,424.49,290.8944432735443,64,384,1,1
6.08,64.0,384,1,1,63.99,0.1645,35.1,194.0,0.072,227.543,421.615,296.98097586631775,64,384,1,1
6.0,64.0,384,1,1,63.34,0.1667,35.3,196.595,0.076,229.68,426.351,302.9727728366852,64,384,1,1
6.06,64.0,384,1,1,63.49,0.1649,35.2,194.442,0.068,226.849,421.358,309.04457235336304,64,384,1,1
