dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.11,64.0,384,1,0,95.85,0.0,20.2,0.0,0.0,59.984,59.984,4.165127992630005,64,384,1,256
5.16,64.0,384,1,1,47.24,0.1936,36.8,228.082,0.083,258.457,486.622,9.329998254776001,64,384,1,256
5.0,64.0,384,1,1,48.4,0.2,37.5,235.627,0.086,266.651,502.363,14.331516981124878,64,384,1,256
5.0,64.0,384,1,1,49.4,0.2,37.5,235.626,0.088,267.156,502.87,19.33262014389038,64,384,1,256
6.0,64.0,384,1,1,80.53,0.1667,36.0,196.396,0.076,247.472,443.944,25.327108144760132,64,384,1,256
5.0,64.0,384,1,1,48.2,0.2,37.5,235.596,0.082,266.498,502.177,30.33102321624756,64,384,1,256
5.0,64.0,384,1,0,49.2,0.0,17.7,0.0,0.0,30.916,30.916,35.33237147331238,64,384,1,256
5.0,64.0,384,1,1,96.2,0.2,40.1,235.633,0.082,297.473,533.189,40.33005619049072,64,384,1,256
5.0,64.0,384,1,1,48.58,0.1999,37.6,235.513,0.082,266.531,502.126,45.328458309173584,64,384,1,256
5.0,64.0,384,1,1,49.2,0.2,37.6,235.607,0.086,267.191,502.884,50.33492851257324,64,384,1,256
5.0,64.0,384,1,0,47.8,0.0,17.7,0.0,0.0,31.173,31.173,55.33508348464966,64,384,1,256
6.0,64.0,384,1,1,82.82,0.3333,52.4,392.642,0.147,444.386,837.175,61.32917833328247,64,384,1,256
5.0,64.0,384,1,0,47.8,0.0,17.9,0.0,0.0,30.966,30.966,66.33461165428162,64,384,1,256
5.0,64.0,384,1,1,48.0,0.2,37.5,235.612,0.088,266.913,502.613,71.33466482162476,64,384,1,256
5.0,64.0,384,1,1,96.0,0.2,40.1,235.617,0.088,297.396,533.101,76.33465361595154,64,384,1,256
5.0,64.0,384,1,1,49.17,0.1999,37.5,235.493,0.083,266.967,502.543,81.33178520202637,64,384,1,256
5.0,64.0,384,1,0,49.8,0.0,17.9,0.0,0.0,31.072,31.072,86.3357834815979,64,384,1,256
5.0,64.0,384,1,1,48.4,0.2,37.5,235.61,0.086,266.728,502.424,91.33246207237244,64,384,1,256
5.0,64.0,384,1,1,98.0,0.2,40.1,235.61,0.082,298.108,533.8,96.33471775054932,64,384,1,256
5.0,64.0,384,1,1,47.4,0.2,37.5,235.627,0.091,266.697,502.415,101.33058595657349,64,384,1,256
5.0,64.0,384,1,1,48.8,0.2,37.5,235.553,0.091,266.246,501.89,106.33565425872803,64,384,1,256
5.0,64.0,384,1,0,47.8,0.0,17.7,0.0,0.0,30.42,30.42,111.3358690738678,64,384,1,256
5.0,64.0,384,1,1,97.0,0.2,40.1,235.604,0.088,297.345,533.036,116.33560824394226,64,384,1,256
5.0,64.0,384,1,1,49.97,0.1999,37.5,235.727,0.099,267.125,502.951,121.33224606513977,64,384,1,256
5.0,64.0,384,1,1,49.2,0.2,37.6,235.531,0.082,267.007,502.62,126.33976292610168,64,384,1,256
5.0,64.0,384,1,0,48.4,0.0,17.7,0.0,0.0,30.85,30.85,131.3348822593689,64,384,1,256
6.0,64.0,384,1,1,81.29,0.3332,52.5,392.497,0.142,445.057,837.695,137.33500576019287,64,384,1,256
5.0,64.0,384,1,0,48.8,0.0,17.7,0.0,0.0,31.097,31.097,142.33996558189392,64,384,1,256
