dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.0,64.0,384,1,0,52.6,0.0,17.5,0.0,0.0,27.18,27.18,4.047643184661865,64,384,1,8
5.18,64.0,384,1,1,61.98,0.1931,37.3,227.645,0.088,261.591,489.324,9.220155239105225,64,384,1,8
5.0,64.0,384,1,1,63.8,0.2,38.1,235.79,0.082,271.061,506.933,14.223433256149292,64,384,1,8
5.13,64.0,384,1,1,63.58,0.195,37.6,229.943,0.134,265.147,495.225,19.34668231010437,64,384,1,8
6.0,64.0,384,1,1,63.14,0.1666,34.7,196.382,0.071,230.344,426.798,25.349446058273315,64,384,1,8
6.12,64.0,384,1,1,62.71,0.1633,34.4,192.531,0.07,225.632,418.233,31.47231125831604,64,384,1,8
6.0,64.0,384,1,1,63.34,0.1667,34.8,196.58,0.071,230.416,427.068,37.47107172012329,64,384,1,8
5.0,64.0,384,1,0,62.8,0.0,18.2,0.0,0.0,32.235,32.235,42.47160530090332,64,384,1,8
5.0,64.0,384,1,1,62.4,0.2,38.0,235.782,0.15,268.678,504.609,47.47841000556946,64,384,1,8
5.0,64.0,384,1,1,61.8,0.2,38.0,235.788,0.091,269.751,505.63,52.47673559188843,64,384,1,8
5.0,64.0,384,1,1,63.6,0.2,38.2,235.788,0.082,270.419,506.289,57.47735095024109,64,384,1,8
5.0,64.0,384,1,1,62.4,0.2,38.0,235.779,0.082,269.775,505.636,62.47508096694946,64,384,1,8
5.63,64.0,384,1,1,63.26,0.1777,35.8,209.535,0.078,243.922,453.535,68.09768033027649,64,384,1,8
6.13,64.0,384,1,1,63.16,0.1632,34.4,192.402,0.067,227.219,419.688,74.22448229789734,64,384,1,8
6.0,64.0,384,1,1,64.0,0.1667,34.8,196.542,0.071,230.882,427.495,80.22519874572754,64,384,1,8
6.0,64.0,384,1,1,63.69,0.1667,34.8,196.627,0.071,231.508,428.207,86.2217915058136,64,384,1,8
6.13,64.0,384,1,1,63.49,0.1632,34.4,192.477,0.067,227.674,420.218,92.34826135635376,64,384,1,8
6.0,64.0,384,1,1,63.5,0.1667,34.9,196.508,0.069,232.068,428.645,98.34894680976868,64,384,1,8
6.0,64.0,384,1,1,63.69,0.1667,34.7,196.613,0.072,231.894,428.579,104.34617877006531,64,384,1,8
6.12,64.0,384,1,1,63.02,0.1633,34.3,192.486,0.067,226.944,419.498,110.47104835510254,64,384,1,8
6.0,64.0,384,1,1,63.48,0.1666,34.8,196.451,0.071,230.258,426.78,116.47277665138245,64,384,1,8
6.12,64.0,384,1,1,62.54,0.1633,34.4,192.528,0.07,226.316,418.914,122.5960602760315,64,384,1,8
6.13,64.0,384,1,1,62.85,0.1632,34.4,192.473,0.07,226.49,419.032,128.72267198562622,64,384,1,8
6.13,64.0,384,1,1,63.66,0.1632,34.4,192.365,0.074,226.182,418.622,134.8484308719635,64,384,1,8
6.0,64.0,384,1,1,63.31,0.1666,34.9,196.465,0.071,231.153,427.689,140.84971046447754,64,384,1,8
6.12,64.0,384,1,1,63.68,0.1633,34.4,192.48,0.072,226.474,419.025,146.97468185424805,64,384,1,8
6.0,64.0,384,1,1,63.68,0.1667,34.7,196.535,0.076,230.536,427.147,152.97209334373474,64,384,1,8
