dt,Fs,HOP,BATCH,pend_peak,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run,hop_run,batch_run,burst_run
5.0,64.0,384,1,0,62.19,0.0,18.1,0.0,0.0,37.528,37.528,4.048396825790405,64,384,1,64
5.2,64.0,384,1,1,57.87,0.1923,37.2,226.511,0.079,263.132,489.722,9.250539779663086,64,384,1,64
5.0,64.0,384,1,1,61.6,0.2,38.2,235.555,0.082,273.984,509.621,14.257044553756714,64,384,1,64
5.0,64.0,384,1,1,60.19,0.2,38.2,235.614,0.082,273.879,509.576,19.250242948532104,64,384,1,64
5.0,64.0,384,1,0,61.2,0.0,18.3,0.0,0.0,37.94,37.94,24.250380754470825,64,384,1,64
5.0,64.0,384,1,1,61.0,0.2,38.1,235.614,0.086,273.316,509.016,29.256623029708862,64,384,1,64
5.0,64.0,384,1,1,61.2,0.2,38.2,235.56,0.082,273.635,509.278,34.256256103515625,64,384,1,64
5.0,64.0,384,1,1,61.4,0.2,38.2,235.609,0.09,273.79,509.489,39.249245166778564,64,384,1,64
5.0,64.0,384,1,1,61.59,0.2,38.1,235.765,0.086,273.372,509.222,44.2501859664917,64,384,1,64
5.0,64.0,384,1,0,62.0,0.0,18.3,0.0,0.0,37.824,37.824,49.25334024429321,64,384,1,64
5.0,64.0,384,1,1,62.2,0.2,38.3,235.633,0.091,274.321,510.046,54.25546383857727,64,384,1,64
5.0,64.0,384,1,1,62.2,0.2,38.2,235.598,0.088,273.643,509.329,59.25497055053711,64,384,1,64
5.0,64.0,384,1,1,62.2,0.2,38.1,235.619,0.088,273.498,509.204,64.25349593162537,64,384,1,64
5.0,64.0,384,1,1,61.55,0.1998,38.1,235.436,0.091,273.821,509.349,69.25264477729797,64,384,1,64
6.0,64.0,384,1,1,62.51,0.1667,34.9,196.401,0.076,234.911,431.388,75.25219416618347,64,384,1,64
5.0,64.0,384,1,0,60.8,0.0,18.3,0.0,0.0,37.68,37.68,80.25658917427063,64,384,1,64
5.0,64.0,384,1,1,61.6,0.2,38.1,235.613,0.088,273.451,509.152,85.25536251068115,64,384,1,64
5.0,64.0,384,1,1,59.8,0.2,38.1,235.617,0.085,273.595,509.296,90.2515594959259,64,384,1,64
5.0,64.0,384,1,1,62.6,0.2,38.2,235.506,0.091,273.904,509.501,95.25506138801575,64,384,1,64
5.0,64.0,384,1,1,61.78,0.1999,38.2,235.612,0.091,274.262,509.965,100.25315976142883,64,384,1,64
