dt,Fs,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run
5.0,32.0,30.8,0.0,17.3,0.0,0.0,20.118,20.118,4.814063549041748,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.836,15.836,9.815253973007202,32
5.0,32.0,32.0,0.0,17.2,0.0,0.0,15.382,15.382,14.814963102340698,32
5.0,32.0,32.0,0.2,37.4,235.892,0.077,259.669,495.639,19.81516671180725,32
5.4,32.0,31.83,0.1851,35.9,218.291,0.075,241.264,459.63,25.223087787628174,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.567,15.567,30.222109079360962,32
5.0,32.0,31.99,0.0,17.2,0.0,0.0,15.612,15.612,35.22191882133484,32
5.0,32.0,31.8,0.2,37.4,235.867,0.083,259.873,495.823,40.221829414367676,32
5.0,32.0,32.0,0.0,17.0,0.0,0.0,15.49,15.49,45.22174692153931,32
5.0,32.0,31.8,0.2,37.4,235.887,0.081,259.201,495.169,50.22159171104431,32
5.0,32.0,32.0,0.0,17.2,0.0,0.0,15.101,15.101,55.22078776359558,32
6.09,32.0,31.83,0.1641,33.7,193.5,0.068,215.846,409.414,61.31711411476135,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.537,15.537,66.3144679069519,32
5.0,32.0,31.99,0.0,17.1,0.0,0.0,15.17,15.17,71.31705641746521,32
5.0,32.0,31.8,0.2,37.5,235.866,0.077,259.539,495.482,76.31530427932739,32
5.0,32.0,32.0,0.0,17.0,0.0,0.0,15.793,15.793,81.31528902053833,32
5.0,32.0,32.0,0.2,37.4,235.892,0.086,259.383,495.361,86.31564712524414,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.304,15.304,91.31529092788696,32
6.06,32.0,31.83,0.1649,33.9,194.522,0.064,216.442,411.028,97.37955713272095,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,16.025,16.025,102.38140892982483,32
5.0,32.0,31.99,0.0,17.1,0.0,0.0,15.854,15.854,107.37957382202148,32
5.0,32.0,31.8,0.2,37.5,235.88,0.081,259.246,495.207,112.37833738327026,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.297,15.297,117.37808084487915,32
5.0,32.0,31.8,0.2,37.4,235.863,0.083,259.799,495.745,122.37780618667603,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.287,15.287,127.38001704216003,32
6.09,32.0,31.68,0.1641,33.8,193.551,0.064,215.27,408.884,133.47324347496033,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.914,15.914,138.47218656539917,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.89,15.89,143.47287487983704,32
5.0,32.0,32.0,0.2,37.4,235.877,0.086,259.63,495.593,148.47278094291687,32
5.0,32.0,32.0,0.0,17.2,0.0,0.0,15.135,15.135,153.4719729423523,32
5.0,32.0,31.4,0.2,37.4,235.877,0.077,259.032,494.987,158.47116112709045,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,16.095,16.095,163.48636102676392,32
6.16,32.0,31.99,0.1624,33.6,191.512,0.066,213.246,404.824,169.62846684455872,32
5.0,32.0,32.0,0.0,17.2,0.0,0.0,15.293,15.293,174.62779116630554,32
5.0,32.0,31.99,0.0,17.1,0.0,0.0,15.858,15.858,179.62811660766602,32
5.0,32.0,32.0,0.2,37.4,235.877,0.078,259.551,495.506,184.62952280044556,32
5.0,32.0,31.99,0.0,17.1,0.0,0.0,15.39,15.39,189.62741541862488,32
5.0,32.0,31.8,0.2,37.5,235.876,0.077,259.319,495.273,194.6277527809143,32
5.0,32.0,31.99,0.0,17.1,0.0,0.0,16.146,16.146,199.62872648239136,32
6.03,32.0,32.0,0.1658,33.9,195.568,0.067,218.162,413.798,205.66042280197144,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.229,15.229,210.65948128700256,32
5.0,32.0,32.0,0.0,17.2,0.0,0.0,15.288,15.288,215.6584746837616,32
5.0,32.0,32.0,0.2,37.4,235.893,0.078,259.461,495.432,220.6584610939026,32
5.0,32.0,31.98,0.0,17.1,0.0,0.0,15.572,15.572,225.6589970588684,32
5.0,32.0,31.8,0.2,37.4,235.881,0.081,259.235,495.197,230.6589117050171,32
5.0,32.0,31.99,0.0,17.3,0.0,0.0,15.867,15.867,235.66019773483276,32
6.03,32.0,32.01,0.1659,33.9,195.616,0.069,217.834,413.518,241.69864130020142,32
5.0,32.0,32.0,0.0,17.1,0.0,0.0,15.682,15.682,246.6900815963745,32
