dt,Fs,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run
5.0,32.0,16.0,0.0,16.0,0.0,0.0,7.683,7.683,347.2531690597534,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.859,7.859,352.25411224365234,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.563,7.563,357.25284242630005,16
5.0,32.0,15.8,0.2,36.6,235.86,0.077,251.33,487.268,362.25191283226013,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.88,7.88,367.25315713882446,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.838,7.838,372.25192284584045,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.627,7.627,377.25318574905396,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.857,7.857,382.253212928772,16
5.0,32.0,16.0,0.2,36.5,235.856,0.077,251.343,487.277,387.2519602775574,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.857,7.857,392.25305008888245,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.766,7.766,397.2511897087097,16
5.0,32.0,16.0,0.0,16.3,0.0,0.0,7.947,7.947,402.2527844905853,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.272,8.272,407.2528305053711,16
5.0,32.0,15.8,0.2,36.5,235.867,0.077,251.05,486.994,412.2528192996979,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.379,7.379,417.25287103652954,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.668,7.668,422.2531063556671,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.047,8.047,427.2546513080597,16
6.13,32.0,15.98,0.1631,32.7,192.38,0.066,205.979,398.425,433.3779773712158,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.547,7.547,438.3795847892761,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.741,7.741,443.37763810157776,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.923,7.923,448.377623796463,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.614,7.614,453.3774185180664,16
5.0,32.0,16.0,0.2,36.5,235.806,0.081,251.102,486.99,458.37983202934265,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.999,7.999,463.3765549659729,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.001,8.001,468.3793935775757,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.795,7.795,473.37925243377686,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.543,7.543,478.38065004348755,16
5.0,32.0,16.0,0.2,36.5,235.869,0.077,251.201,487.148,483.37922406196594,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,8.193,8.193,488.37770557403564,16
5.0,32.0,16.0,0.0,16.1,0.0,0.0,7.658,7.658,493.3779819011688,16
5.0,32.0,16.0,0.0,16.2,0.0,0.0,7.698,7.698,498.37800216674805,16
