dt,Fs,samp,inf,active,infer_ms_s,fill_ms_s,rx_ms_s,eproxy_ms_s,t_sec,fs_run
5.0,32.0,61.4,0.0,19.4,0.0,0.0,35.202,35.202,4.81603217124939,64
5.0,32.0,63.4,0.2,39.2,235.891,0.077,276.397,512.366,9.816537141799927,64
5.0,32.0,63.4,0.2,39.2,235.893,0.077,276.232,512.202,14.821774959564209,64
5.0,32.0,63.4,0.2,39.4,235.909,0.086,275.863,511.859,19.818409204483032,64
5.58,32.0,63.45,0.1792,37.2,211.378,0.07,250.101,461.549,25.383585691452026,64
6.05,32.0,63.33,0.1653,35.7,195.004,0.069,233.669,428.742,31.429034948349,64
6.06,32.0,63.51,0.165,35.7,194.581,0.067,232.809,427.457,37.49403667449951,64
6.05,32.0,63.51,0.1654,35.7,195.023,0.064,233.101,428.189,43.54380393028259,64
6.05,32.0,63.66,0.1653,35.7,195.013,0.069,233.514,428.595,49.58444619178772,64
6.03,32.0,63.17,0.1658,35.8,195.575,0.067,234.683,430.325,55.61636805534363,64
6.08,32.0,63.02,0.1646,35.7,194.052,0.066,231.887,426.006,61.70245552062988,64
6.1,32.0,63.97,0.164,35.7,193.435,0.063,231.916,425.414,67.78879642486572,64
6.0,32.0,63.8,0.1666,35.9,196.472,0.067,236.051,432.59,73.80396151542664,64
6.03,32.0,63.38,0.1659,35.8,195.714,0.067,233.418,429.199,79.81904077529907,64
6.05,32.0,63.82,0.1653,35.9,194.997,0.064,233.469,428.53,85.86636781692505,64
6.02,32.0,63.33,0.1662,35.8,196.047,0.064,235.044,431.155,91.8821427822113,64
6.06,32.0,63.32,0.1649,35.7,194.498,0.071,233.083,427.652,97.94626641273499,64
6.06,32.0,63.04,0.165,35.8,194.606,0.064,232.813,427.483,104.00578212738037,64
6.09,32.0,63.34,0.1641,35.5,193.543,0.064,231.975,425.582,110.10092854499817,64
6.07,32.0,63.8,0.1649,35.7,194.436,0.067,233.054,427.556,116.16405129432678,64
6.02,32.0,63.16,0.1662,35.9,195.97,0.064,234.369,430.403,122.18053436279297,64
